Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.3328210714863327,0.2756817882280964,0.3367159407725371,0.24096514871875266
1,0.6494691080353738,0.5525673935856094,0.6190971136754684,0.46210294705261445
2,0.9179740874969882,0.8169656692457814,0.9336556099078874,0.6774138914044211
3,1.199247690861944,1.1108390730312976,1.2226849646555622,1.0566926729915007
4,1.4571698240727073,1.3458617047834163,1.4927020621716245,1.3841523913826455
5,1.831779295393305,1.7411627904597804,1.8129429266348809,1.622169291112396
6,2.2359642434428073,2.0382241742188985,2.2018858666125354,1.969124514219282
7,2.4424632128217105,2.303121893775543,2.454489669438468,2.3587090515723093
8,2.7367630910414023,2.7500925224654207,2.8286002150890233,2.6312944714782045
9,3.033973383111386,2.9718190108520277,3.061382635797246,2.844503402432925
10,3.280654827255931,3.179049622960914,3.369313330768162,3.145099406738992
11,3.664454501225584,3.5215890813220865,3.804383668643669,3.4411361749311
12,3.921869721258824,3.7677551838762446,4.002507546246568,3.6323943840992925
13,4.245469335699965,4.013916441529946,4.358117697296728,3.950235963426784
14,4.597658929344307,4.290784209082436,4.728243782917396,4.222121495878443
15,4.879086855515766,4.551256094364532,5.061886685513342,4.423968779331615
16,5.168415457123781,4.861512177367812,5.37813483644201,4.756871667945739
17,5.424254363032669,5.1050574830311835,5.652497777542233,4.991415282635226
18,5.766524715857304,5.470069665454095,5.937002094984527,5.339981757034989
19,5.968940449796805,5.6467574380567696,6.11947974494957,5.616699248422359
20,6.255581984354183,5.919775017977699,6.480615192260684,5.901410470301499
21,6.51286367620906,6.1449323749892315,6.760434904286241,6.191141648842402
22,6.7526564064098995,6.3563727968608905,7.071396793369172,6.357920788193484
23,6.988219813943539,6.5135415345362775,7.27074272062459,6.5497309368420975
24,7.2178025003897215,6.767772786070528,7.581695079951449,6.775390206147229
25,7.425463787124483,6.9315588449768955,7.8916165804028,7.122570249789757
26,7.61868356756229,7.212873357705368,8.117811480217847,7.526439025239154
27,7.920195150477362,7.45112909142036,8.3828013475166,7.829965061958205
28,8.090061631405684,7.777272107161598,8.707082586062551,8.18286530288364
29,8.394470648960493,8.023092932994995,8.899950187160822,8.459031681734709
30,8.64182943412659,8.33768590480405,9.236536482396316,8.764169600520349
31,8.845642138746758,8.45755529521189,9.378663451020866,8.984287851105105
32,9.033698286539476,8.657242237689067,9.704221889738449,9.172944083323175
33,9.292341571420868,8.88887836943869,9.903543469872364,9.343930181501445
34,9.507907773961854,9.176137359949522,10.035191138506956,9.616629184310531
35,9.694397251772283,9.360124029183002,10.34587214714811,9.938536235122946
36,9.962741049426246,9.566686027698651,10.670451567034608,10.196195690349606
37,10.14958457067842,9.748752237147619,10.896520357487542,10.553872387108965
38,10.27815615820994,9.96235597745098,11.179896150044929,10.759743215696512
39,10.451857600723013,10.046992362861472,11.387888029717114,10.96608275954511
40,10.690516619639332,10.289351598770391,11.640529247184691,11.290708254763903
41,10.916197314631775,10.460257497269387,11.868460257590383,11.61138658438884
42,11.11779128073809,10.69080963662125,12.140806512072846,11.775898928341508
43,11.32249343340484,10.944417735660446,12.318852107812319,12.032680629984892
44,11.49663817119796,11.22305005407381,12.502951078432911,12.353407976378032
45,11.578435282159196,11.475436417709135,12.675856844409738,12.627652977052312
46,11.763508810811953,11.630830884155621,12.816742545485388,12.900544405395417
47,11.926423195677065,11.986116690197871,13.101010981746711,13.302271513438829
48,12.102426334512113,12.269739530927339,13.37149643893936,13.467266564408419
49,12.249001243609085,12.368084772304096,13.57013091184416,13.713248646967354
50,12.571683793233582,12.622193942444438,13.825593474069297,14.047893165737767
51,12.721750085043409,12.883277390204265,14.080476746434613,14.367853437699281
52,12.88919746664215,13.06528298270419,14.302355158372304,14.569987668565437
53,13.141593803643797,13.34446530068339,14.612804741922881,14.82426591956579
54,13.375616869191315,13.628992682527066,14.746910561058144,15.137250694036528
55,13.521261420007372,13.855036442876923,14.995512108688917,15.494025970515832
56,13.683214428183373,14.127508963462805,15.25689145421616,15.712094156551178
57,13.835648977752708,14.369091825641451,15.51463930140558,15.863837354546893
58,14.019263601147543,14.450440995882962,15.743763153524464,16.007229630608254
59,14.164347496730207,14.661523229079629,15.926548250230974,16.205963886840554
60,14.290961616955201,14.836904345613629,16.12650236622542,16.446357944365126
61,14.442211262155329,15.016954642325397,16.403393432474665,16.66884622323176
62,14.570086552828588,15.169764901519514,16.60875499427236,16.832810774764937
63,14.810749670955474,15.394772795013997,17.092254803692132,17.136742454911634
64,14.972367727459186,15.596330381886613,17.387956901686103,17.246319985486863
65,15.185230338307466,15.785702901507207,17.570093624270232,17.396471017277282
66,15.2750813255705,15.969130446239996,17.694310989886482,17.649999271855425
67,15.359187984476264,16.12822684412887,18.03298811684703,17.835488827714777
68,15.583972115609555,16.370451783553786,18.19098307624015,18.07306148901662
69,15.729420485772678,16.548660380365174,18.387282257978494,18.289544097699725
70,15.962332867174638,16.679891266170937,18.597065964394908,18.619312983704994
71,16.152379660695377,16.834553830894077,18.83852346612998,18.867450251586956
72,16.40130649017354,17.05511280462921,19.01401744403027,19.110542969413668
73,16.67641305197128,17.31717330254252,19.230837952796477,19.34564575947386
74,16.79904377621578,17.501887543107607,19.46912367799623,19.559293741428796
75,16.978663577484422,17.615616818073132,19.712941870665944,19.78815903485874
76,17.212638381759177,17.709041259367325,19.859097859758144,20.099076603453828
77,17.495289737138368,17.938853502808133,20.072843469015687,20.332630079759795
78,17.770934487053886,18.052622954415316,20.279033432092664,20.652869486623167
79,17.94305888041574,18.23444351671179,20.580013231292643,20.88208987860196
80,18.123058393277418,18.295172143808152,20.790454540781898,20.981538070872052
81,18.28233329162638,18.350551604931486,21.032702031085,21.28791205589481
