Time(Iteration),EpsilonGreedyLinearBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,1.0566982251773347,1.070856258377074
1,1.1329735204896478,1.1651095041995447
2,1.2032748960004749,1.2491658708781084
3,1.2096326099595864,1.3067934400464627
4,1.2946845033687355,1.4605153155344495
5,1.3381431771406143,1.4853878091057025
6,1.319713797954374,1.4862548639879751
7,1.316051656613507,1.4892628372897134
8,1.2622391931955017,1.4756734289711966
9,1.2939667773548704,1.5173343415263152
10,1.3017271317110162,1.5133868642166384
11,1.391014088303759,1.6110592477533245
12,1.3298482036649433,1.580808664546359
13,1.341601740583243,1.5990740768534026
14,1.335814605507662,1.6086763799571426
15,1.3208736807880197,1.679129759071555
16,1.3402267762638362,1.7068201962980893
17,1.346085325932536,1.7896462118219307
18,1.3500456624043875,1.8016623966944956
19,1.3701280455991935,1.9594774860129012
20,1.450185027602235,1.994424832185301
21,1.4701787045805441,2.026946044919688
22,1.4683063410698802,2.0320320339075724
23,1.4023932125826448,2.0193642953151025
24,1.4337403880102069,2.0642360082827804
25,1.461377115979325,2.079461687872207
26,1.4255236983510007,2.0977607736337167
27,1.432350471160047,2.0923538582349948
28,1.4137739254702653,2.1108753174406294
29,1.4045836794563304,2.1214576231744156
30,1.3946403497524011,2.0805181228360006
31,1.3863966448885683,2.061824036818269
32,1.4273909086678356,2.039745594370939
33,1.4674231446211612,2.0758065967449184
34,1.4574179304964416,2.089267386305263
35,1.4796275525426776,2.0850597381887868
36,1.4660473325979733,2.0802079436135585
37,1.4406711504557954,2.042914284270445
38,1.429090090545702,2.044264961553142
39,1.406396680058703,2.0372244743166545
40,1.4084437588463725,2.032235562889123
41,1.4154143596366444,2.031399691632207
42,1.3942603243309564,2.037322380485017
43,1.396052497644817,2.0216522431343065
44,1.3773749865587137,2.0487753562507725
45,1.3790517336068544,2.0648483149030676
46,1.3642814631723643,2.014092305152529
47,1.3774313413855483,2.0305988799505363
48,1.3882806582329554,2.0261322547699043
49,1.3768043212400243,2.004051650903283
50,1.3872290875249504,2.0068002157149416
51,1.4017561536819332,2.0187043469070383
52,1.4026262094722504,2.006554889690693
53,1.4032846246959174,1.9906043020751312
54,1.3975439366679496,1.9856085139499278
55,1.404149718116979,1.9845757400131792
56,1.3930303950998706,1.9954985608687643
57,1.394816983825228,1.9766253117263877
58,1.3825699275176357,1.9814959300081227
59,1.3839567442615164,1.9871679559161493
60,1.4248573696076492,1.9866090483855223
61,1.39689228019514,1.9682670053323068
62,1.3862012404716226,1.969829219039018
63,1.3974838712918207,1.9492143899141108
64,1.4000882132524555,1.9553456339104271
65,1.4023059520938908,1.9587170555943274
66,1.4009396187245817,1.9711397542060687
67,1.3948547951928092,1.9621793912281853
68,1.3852634516442206,1.9570583558693115
69,1.3787054867888346,1.9171198409597863
70,1.3795095280623528,1.9190625934966579
71,1.377901953015964,1.9239102235434022
72,1.3804119896183642,1.9199966235408
73,1.381927172358937,1.9186368689788753
74,1.3824783608543758,1.916605838412852
75,1.3795091848545777,1.9005789112295364
76,1.371427119946188,1.8945905456706449
77,1.3652862794735854,1.8861990340427255
78,1.3647904311115233,1.8851085016363769
79,1.3649654222725407,1.8754553391144486
80,1.3760565925461046,1.8605537692407246
81,1.3851545301567711,1.8518696568788662
82,1.3788446604858011,1.8436280511289584
83,1.380376766943021,1.84052599404769
84,1.3752606863310284,1.8394949048896343
85,1.3545441551441006,1.8329657304283278
86,1.357539808564731,1.826693623780243
87,1.365594369800706,1.8240946180248883
88,1.3431184283761919,1.817742997151069
89,1.340055244032833,1.7915713518641148
90,1.3454993649370786,1.7859338911197185
91,1.3530117285694254,1.7831633059645853
92,1.3534567085349882,1.7557129858121776
93,1.350760519839397,1.7570825674588442
94,1.3528437922326633,1.7583670810004786
95,1.364908446797927,1.7578908741043058
96,1.3743353104269767,1.7503511676576786
97,1.3744948399589565,1.743775375653191
98,1.373995042310709,1.7118439171434603
99,1.373954535186638,1.7097927620327042
100,1.390311998558071,1.6944019415158924
101,1.3731064355471654,1.6897605499681063
102,1.3645355713796035,1.6786072876759008
103,1.3795599165647108,1.6703940785296596
104,1.3727180328664241,1.6725183139198403
105,1.373143247214418,1.6786845846953427
106,1.3656196405258565,1.6824145739990755
107,1.3630495269818481,1.681119313143082
108,1.3661966576477864,1.6843170843071327
109,1.3641760243426644,1.628009432265267
110,1.3386409506846932,1.598598929121207
111,1.3399224371910663,1.5929818395317885
112,1.3372221163196678,1.5964811712503972
113,1.3285152443178723,1.5961173621537783
114,1.3014574089856672,1.5913477288478117
115,1.3014518131403234,1.5600247448145839
116,1.2971501016404372,1.5561945473933714
117,1.290842802377077,1.5508689720227944
118,1.2855830701748803,1.5550297309828314
119,1.2891562609569787,1.5513750078282884
120,1.2898858667283812,1.5500269560810793
121,1.296029267228377,1.5514437007912298
122,1.3029921733522143,1.5503359192548432
123,1.2968005601804238,1.547588939005999
124,1.2945942640936507,1.5448023279693603
125,1.2941247749030156,1.5321555067590737
126,1.2898913051961611,1.513925990930097
127,1.292259807600638,1.5101960646633956
128,1.2942349638937565,1.5055924930741658
129,1.3008695799643362,1.498520790880611
130,1.3062597818438864,1.490953878120564
131,1.2984059409188575,1.4898755541413842
132,1.2980264311836722,1.4930582931384735
133,1.2901094468096326,1.4924329012540942
134,1.290825366425479,1.487824657283539
135,1.2916520810012386,1.488259674759059
136,1.287532658985198,1.4837525454236051
137,1.2886822201296062,1.463694046783753
138,1.288773256144788,1.4459140091886247
139,1.2979493221750407,1.451392609543843
140,1.2972154630145354,1.4200822164539406
141,1.297233681947031,1.4171837109347494
142,1.2961861373044183,1.4199100745167477
143,1.2972187053053255,1.4039561637047888
144,1.2980615203455785,1.4026523550562762
145,1.2967785542950678,1.3965306245585825
146,1.2953348339279085,1.3834094690978422
147,1.288905145821996,1.382865297170318
148,1.2889143653054613,1.381598650703377
149,1.2874336502868604,1.385125766674084
150,1.2877202873266231,1.3808374636153287
151,1.2882948099399794,1.3798969776467471
152,1.2827977706478748,1.3815851145544884
153,1.2786093446904474,1.369777978034985
154,1.2756807876378742,1.3720080926183003
