Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit
0,0.488423178339807,0.4447388282492629,0.3892762745273151
1,0.9570606651531799,0.8465669768725161,0.7950577389225417
2,1.3774810675519022,1.2668759949465689,1.1709382438010159
3,1.7611861634653692,1.58738308397078,1.4545073228185839
4,2.1561955161323993,1.976137960429309,1.9072511524620908
5,2.463737046024783,2.2808936032031735,2.312952987439451
6,2.7673234073529223,2.566580956763188,2.6515159139430304
7,3.06569465482802,2.836952874485742,3.0988754293648593
8,3.392910945638819,3.2034316553550566,3.3969183736880275
9,3.681261025758038,3.4411870848404384,3.769942302219185
10,3.9573455196164233,3.7111803621151886,4.130747080263793
11,4.304005757703737,4.042721608659009,4.551274886017763
12,4.61214284836619,4.230570671861771,5.007414892802347
13,5.0104238281745355,4.4510356556273445,5.394377357712878
14,5.353790437943039,4.654442630386511,5.819737730103926
15,5.622580564932728,4.941471364864857,6.171058005627967
16,5.847721540595901,5.147521758071448,6.63904266716559
17,6.130109666453926,5.325849502705704,7.120690416665218
18,6.355700251113986,5.472026399824042,7.5398898374016685
19,6.5378812348040825,5.827639208075071,8.006830278796818
20,6.714135160162096,6.0052219629064085,8.388299534569896
21,6.943918403745704,6.2262143716378135,8.767064853540203
22,7.244376612777145,6.394451666512438,9.32750630140092
23,7.450306924220323,6.524617440103405,9.684199266932296
24,7.67866753204468,6.700420559306428,10.139010418576191
25,7.850354458619963,7.045771446968827,10.157505738492961
26,8.041879189908148,7.303881481398584,10.257715175115345
27,8.313059203737328,7.482233145764252,10.397738479265614
28,8.453835331707111,7.780246361164143,10.619710610335321
29,8.71319876827987,7.997939827551872,10.879947102664909
30,8.830626318815057,8.216275023937746,11.040210113288667
31,9.04017629375511,8.425543355630193,11.307061547050122
32,9.26217360998259,8.737910871079944,11.542087348861049
33,9.54327105846921,8.902699639455474,11.871947173905975
34,9.680278109011173,9.089493742843716,12.068591476405583
35,9.958725288652799,9.221160654587617,12.326933207358936
36,10.18697553450916,9.407117439884463,12.598972786769004
37,10.395247980795203,9.590287364706157,12.96659550006861
38,10.532009446097423,9.683632440981112,13.354300589333523
39,10.652267555194475,9.821203902020198,13.68470218458746
40,10.81618508670236,10.061224482277035,14.005191636208284
41,11.055672817072544,10.202419540673281,14.432696418141626
42,11.314964210491683,10.452538584391062,14.76385990550036
43,11.554556961182746,10.586316439586295,15.234696580384632
44,11.720421474237835,10.785247913235024,15.565930662940957
45,12.080204019691445,10.996315139112395,15.864267798242224
46,12.314385207720322,11.095166981708878,16.289568770170504
47,12.521351015139794,11.212091270061869,16.569117249557017
48,12.683257197711008,11.47724252123784,16.783392185092502
49,12.829558232616227,11.601070927370397,17.071866999640573
50,13.087213914171864,11.676254248971855,17.62515189848314
51,13.250451033706122,11.880302261272236,17.910365382153
52,13.39066801500773,12.035316572864666,18.29579172532107
53,13.517738780464043,12.184690195366247,18.665836145208317
54,13.659033676199495,12.292196863210613,19.052763471731005
55,13.932581536250037,12.574339012261312,19.358183039556604
56,14.026720224438955,12.706779135858675,19.739505187183227
57,14.113035697414858,12.792648244969143,20.04289476929258
58,14.176002592956166,12.890123491855835,20.46477730940214
59,14.34645838867569,12.97918360561404,20.82139253560223
60,14.49730184349291,13.075722832864594,21.078139129659522
61,14.556029358571447,13.20821864278717,21.47175433082457
62,14.614756873649986,13.254041291977265,21.888161876083167
63,14.72064059627506,13.3504233980583,22.237505644398084
64,14.858342051338019,13.43359228397453,22.563115445366776
65,15.01653833823634,13.581894711708623,22.991532739710593
66,15.125868899405466,13.614426814324911,23.37394262369215
67,15.335535711072458,13.822938776226142,23.636207723390324
68,15.499818900182841,14.077196996367295,23.915350568603134
69,15.659002684663523,14.18538625952265,24.25222288392603
70,15.816182591236654,14.282207241816895,24.59419381658032
71,15.874910106315193,14.39039650497225,24.906798795120487
72,15.996546815904598,14.433441305977354,25.0673775487981
73,16.122961951850755,14.536978874636807,25.436536449040105
74,16.27942702340249,14.690183659391304,25.717655814165852
75,16.473078886070667,14.788868585291604,26.012647906849402
76,16.618907853254804,14.914188746474483,26.294132520225862
77,16.771803261904836,15.057609190711702,26.566901067619188
78,16.83356981955901,15.280294104511608,26.865707758054043
79,16.93491862445274,15.426344091497063,27.16535602831728
