Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundMultiArmedBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,0.9847428508493984,0.998642817052087,0.992246251766957
1,0.9869565033731156,0.997426949063042,0.9871307511220369
2,0.9760716704944494,0.9750116188740025,0.9746205685994711
3,0.9742700418665408,0.9680773542172265,0.9437880411151935
4,0.9586931829871693,0.9662129587845705,0.9345235169263312
5,0.9351885346182904,0.9428058506412114,0.9169044616682177
6,0.9266773882559264,0.9111369457544093,0.8998871244205822
7,0.9136008612554924,0.8799554324531049,0.8774890842621114
8,0.908532618032452,0.8568314359614737,0.8631410825462815
9,0.8998571628087552,0.8409771469710119,0.8640578127253095
10,0.8892116288313658,0.8199948250653127,0.8511348175182618
11,0.8714873334589042,0.7851598866631779,0.8444165379063062
12,0.8648342726367387,0.7648937421747253,0.8310767570933905
13,0.8435724811741178,0.7564419421450936,0.8272863027440831
14,0.8415629670900765,0.7537146011766159,0.8235530396144201
15,0.8395516620955525,0.7476869416153269,0.7953492280713477
16,0.8400972401897328,0.7305457820552125,0.7794260842435382
17,0.826872448075909,0.7263092682332364,0.771105188552727
18,0.8158500687959098,0.6913567138145754,0.7521657653531123
19,0.8136766911125364,0.6653841115443128,0.7360854767406163
20,0.8113737698991719,0.6417714791598803,0.7149195030941891
21,0.8079004266153212,0.6312303783720036,0.7079520709321638
22,0.8066332608081803,0.6167968591459916,0.6822418781609769
23,0.8050245647436334,0.5698075147603466,0.6582273757156911
24,0.7873751454828862,0.5452967735525316,0.6386747928233281
25,0.7807309282829136,0.5261152910939186,0.6233236857918368
26,0.76688188681936,0.5218315401838348,0.6126084866696727
27,0.7674300590254505,0.5082367001237206,0.6103313247109426
28,0.7659467457034358,0.49538496409318294,0.6039573810110399
29,0.7574002712223531,0.48688204545816116,0.6053270822314297
30,0.7563023949317895,0.4845046730032333,0.6021683581369548
31,0.7541519475111349,0.4741358315360521,0.5813252617438793
32,0.7507711658002041,0.46901667216178183,0.5818075429223049
33,0.7524429969008024,0.4682001596811135,0.5819456639984015
34,0.751834256159292,0.47015462873500385,0.5855145385285865
35,0.7495880146814199,0.4662789049924242,0.5788207448954158
36,0.7471374342129085,0.4586958608642875,0.5632746997601459
37,0.7403240158626965,0.4537496071856525,0.5519124206527326
38,0.7309617402545882,0.43582229835834674,0.5513082503980867
39,0.7278074053406497,0.42497820989373725,0.5405218815628187
40,0.7242352815583819,0.4223098922394737,0.5345335426018676
41,0.7241801721032189,0.4148139305369676,0.5212748537094126
42,0.724018108617815,0.41182782475759333,0.5149464728513966
43,0.722020861833701,0.4070114108839883,0.5133272716977185
44,0.7223606186855572,0.4012161085956526,0.48885455637782194
45,0.712288937057694,0.39446996866238415,0.48387240124552855
46,0.7133780793166944,0.3948179257130229,0.4884320989189176
47,0.7142950265420913,0.3938530053725825,0.4885449596982155
48,0.7145475034558217,0.38930422332459147,0.48121796654167975
49,0.7145526164964762,0.383719506692401,0.4517383995513585
50,0.7128010072331132,0.3814770259912472,0.4407114509648776
51,0.712345074185491,0.3772547921945598,0.43612608866366936
52,0.7084149245481756,0.3748686545060606,0.43451087543158906
53,0.7061199943352953,0.3735785521163132,0.4333897622541702
54,0.705986474442519,0.3677399337000723,0.42244716639446167
55,0.7038838254381564,0.36769702102372676,0.41589550136820214
56,0.7018952223299649,0.3606515799368588,0.3881475930883139
57,0.7005414508873503,0.3592006895594996,0.3881352809408702
58,0.6971042523496,0.35926804958739794,0.38662350935733614
59,0.6969878502502539,0.3508522876778263,0.38265208388243005
60,0.683481136695959,0.3454936900310863,0.3799044556658394
61,0.6832788188334015,0.34319049972558907,0.37701681151459054
62,0.672529284579697,0.34124906953950185,0.369038941193892
63,0.673014043186482,0.34140535754233065,0.3663044981522546
64,0.6729593019279744,0.33812781578602136,0.3646669185092801
65,0.672228008229047,0.3374194647266676,0.36428853056538013
66,0.6721890278652697,0.33065457456013087,0.3614252590328014
67,0.6743440917859831,0.3290113549566717,0.360452232219704
68,0.6744358249089791,0.3275100922441884,0.3549637418010202
69,0.6564195767219594,0.32612731786879073,0.354202657666412
70,0.6564678247901959,0.32682580103347614,0.35459453718173783
71,0.6562324444356206,0.31882384759070387,0.3536638640234132
72,0.6508628941305135,0.31418313329330655,0.34977186111418934
73,0.6502224538179269,0.3144279712377444,0.34799794641324
74,0.6340259566910327,0.31498907060545694,0.3475693371756371
75,0.6160956506158406,0.3134176017184938,0.34093657095056396
76,0.6120982896799125,0.3017682902690054,0.33694889898740943
77,0.6115375447205018,0.30099130580553957,0.3340278858765724
78,0.6114865975391128,0.29940585507568557,0.33146529671818314
79,0.5985764334018012,0.2963435388458212,0.32797448954280306
80,0.5978866973008844,0.29574738613646157,0.32768059516499026
81,0.5965068848360431,0.29061151722468603,0.3257186872134049
82,0.5956044193378902,0.28782452379382406,0.32514551493781474
83,0.5884619852206884,0.2865119399017845,0.3232512752454239
84,0.5882524301672898,0.28533713750061523,0.32112856943778395
85,0.5858975155403321,0.28463759146137846,0.32284612503095933
86,0.5779695544218065,0.283399726045383,0.32028936971932337
87,0.5736219184419704,0.2815661939910803,0.31573177863467317
88,0.5752823529861151,0.2821913266777284,0.3154874753269286
89,0.5754751183276741,0.2818968249733961,0.3139927845655256
90,0.575351822872858,0.2797583389425759,0.3131293174278373
91,0.5696194483166906,0.27830847991878604,0.3100744969184196
92,0.5692031484767708,0.27624236873277697,0.30936518546346925
93,0.5691979826088002,0.27368372559587295,0.30785866378362275
94,0.5686448263756871,0.27369675801643567,0.3081368280744788
95,0.5661361608018997,0.2730473617177396,0.3040817717781481
96,0.5660429030299265,0.26753541690517607,0.29879241804205947
97,0.5646179120196748,0.2656418061216792,0.29835952138807564
98,0.56293915310543,0.2602029282646955,0.2976962572849839
99,0.5605525496215746,0.25964361970514865,0.29581497277691954
100,0.5568813828455859,0.2589141768843352,0.29510026705255277
101,0.5562678665168568,0.2584854585498452,0.2948427498426525
102,0.5554584390195293,0.25430886677560827,0.2934904196118489
103,0.5541851463267549,0.2517499590199668,0.2928197643771238
104,0.5478109974456197,0.2512276096077828,0.291272458635701
105,0.547409177288778,0.24888263205291353,0.28874758294362274
106,0.5440956774618588,0.24904815341534733,0.287164448617178
107,0.5441553620474576,0.24758079832131918,0.2866572112807878
108,0.5437959221137895,0.24700003526834013,0.287078341412688
109,0.5435544836196824,0.24650532555698668,0.28494166342829413
110,0.5404949005019045,0.248407619626899,0.2813048518719959
111,0.5403886617887947,0.24911406781789344,0.2810227787954933
112,0.5282823683999659,0.24795312868340388,0.28089731873054935
113,0.5279442102101966,0.24677570988017378,0.2778649361931607
114,0.5278688695402141,0.24590593527477317,0.27697763147502547
115,0.5260621789470982,0.24467915144568603,0.27639633450766504
116,0.5259337921527116,0.2438643820488673,0.27618978838673397
117,0.5263497645593614,0.2435475021009405,0.27407482177523257
118,0.5256460380337861,0.24309388668324158,0.27440072660674614
119,0.5103959845783175,0.2418988905761919,0.2719707053965029
120,0.5114631937094642,0.23957309203265983,0.2687741098401667
121,0.5108893829888064,0.24001747208109375,0.26956815379304416
122,0.5112784329319813,0.23849655916851412,0.267016322691243
123,0.5112068810451385,0.23692333868231663,0.25562961221731695
124,0.5114540915115003,0.2387196310006559,0.2553706669826975
125,0.5074979545644142,0.23487950912444228,0.25581708603188497
126,0.5070771212144703,0.2340227395219429,0.25648403121290675
127,0.5066644975094452,0.23477975651462485,0.2552464596926914
128,0.5001520359686584,0.23498145799413855,0.25293491568024656
129,0.4995279548682842,0.23087658574266728,0.252063717150549
130,0.49972909501577883,0.23015901097252928,0.250819581920857
131,0.4997425206374328,0.2307819863635122,0.24949721746147016
132,0.49927717440405023,0.2302126888771013,0.24885993214842017
133,0.4992371032355908,0.2294283049988232,0.24817234139674138
134,0.4988392547680019,0.22715946011947397,0.24623909369581448
135,0.4999857140261222,0.22636197032549563,0.24392420728025083
136,0.49726644801670866,0.22564354499932318,0.2449356015846286
137,0.49652067497853497,0.2228903099782371,0.24300700306712755
138,0.4965628776523352,0.2215066787516689,0.24078834555945883
139,0.49623514460330415,0.2212193777384613,0.2411215242392241
140,0.4962415584336223,0.22064192810527544,0.24072908147096964
141,0.4930455973754643,0.21887720614121794,0.24001246800526038
142,0.4932144635325229,0.21773451898146087,0.23883333500039444
143,0.49265849581911125,0.21905025598477987,0.23808350979719317
144,0.49160462689982304,0.21763605088268334,0.23684283489074062
145,0.4902876188680347,0.21851805904576266,0.23626681822392553
146,0.48964567348642946,0.21594985647696202,0.23592020723943805
147,0.4897063238240874,0.2162763211000946,0.2341374102406346
148,0.48967797689273473,0.21434213644023187,0.23328979897428695
149,0.48981288757267877,0.21432237742407292,0.23305510604001198
150,0.4903386897293568,0.21379340290406912,0.23202166571725352
151,0.4838483344292073,0.2122859714274575,0.2301204460465791
152,0.483676771774297,0.210666882911907,0.22777022788741125
153,0.4836415078337783,0.21005261851773752,0.22800935086483354
154,0.48359253144391623,0.20945874022511896,0.22792204872419708
155,0.4836969539496051,0.20992403360569395,0.227786704754607
156,0.48305963463119095,0.21061713416228617,0.2287280007699728
157,0.482032512947648,0.21013790054630926,0.2261853017753575
158,0.4810378067965013,0.20912654649269619,0.22501053737785726
159,0.4811682005860948,0.2088362837520751,0.22489194220177242
160,0.4763422293014218,0.20922216290068665,0.225760407655966
161,0.47543535670539194,0.20897126191949641,0.2244655808267122
162,0.4751137006675995,0.20975216817038428,0.22422303295500584
163,0.47504041362921984,0.20703423513660604,0.22358240012324973
164,0.4777027536265181,0.20732187260594795,0.22283117993730328
165,0.4772616191741699,0.20725399521430105,0.22270608312217693
166,0.47669139706639935,0.20670226595264402,0.22128731609657173
167,0.4757955536772657,0.20689127511005162,0.2191756193547981
168,0.47577722610030015,0.20614121764037333,0.21785231715121656
169,0.47478604845696515,0.20725787557956338,0.2170183959536765
170,0.4707948958511543,0.20751147505547948,0.21687391993609956
171,0.4706411965093267,0.20858625908302736,0.21667139154973097
172,0.4702043577985779,0.20685824654265236,0.21408157974316003
173,0.4701179955727241,0.2067534077927346,0.21273285422355653
174,0.4677554428811176,0.2068415854565512,0.21222294330994879
175,0.4661990273411515,0.20585481138595746,0.21084000734100483
176,0.4644610443666034,0.2065877758831244,0.21087240570411386
177,0.4643154100068122,0.2028193388913563,0.2089311217753477
178,0.46465669994059977,0.20219984345009787,0.20968720843517272
179,0.4645232918304359,0.20304227351032736,0.2102663030366217
180,0.46432221064996587,0.20174595371164777,0.20927013785219378
181,0.4637632874841685,0.20238256761782183,0.20918699659752243
182,0.4631575647369764,0.20311876524412797,0.2101693323450184
183,0.45660773476927624,0.2027513908259288,0.20986703283063912
184,0.4547762756305545,0.20299977580461132,0.20930679097685595
185,0.4527779303690444,0.20088751561375964,0.20912304310912458
186,0.4378823107797783,0.20049188000474846,0.20901766969091323
187,0.437601333202401,0.2001433045750905,0.20748575568841793
188,0.4378105038385044,0.1996581869014739,0.20766448851835126
189,0.4375042019216083,0.19968690913318105,0.20664211798284846
190,0.43742010058077285,0.19951715893288757,0.20613903269224956
191,0.43737228322013405,0.2001067210114337,0.20622438565713028
192,0.4370188633410196,0.200166863118369,0.20600995647304438
193,0.438044768173062,0.2011355465088407,0.20545106349514058
194,0.43753456704893734,0.20077180559131352,0.20510380517593055
195,0.4374094044264033,0.19981744014382724,0.2050526245804934
196,0.43750341585848085,0.19969111247701002,0.20505804252167614
197,0.4373313548106131,0.19763774109485827,0.20516479894805223
198,0.4376497360503766,0.19814416600438492,0.2046689532988077
199,0.43777644994717385,0.19880402196280983,0.20245847130734096
200,0.43775860113496873,0.19863211480220275,0.2019815358421117
201,0.4378712393717518,0.19748836663759978,0.20335704323310244
202,0.4301253803313762,0.19828005820953246,0.2028277788612657
203,0.4302023672884382,0.19757974243281604,0.2014591346315336
