Time(Iteration),EpsilonGreedyLinearBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,0.9840174710780566,1.0
1,0.9655274833194973,1.0
2,0.9571436419709916,1.0
3,0.9504934112813619,1.0
4,0.9395266399915437,1.0
5,0.9401998749864928,1.0
6,0.9291392749201325,1.0
7,0.9238125415984714,1.0
8,0.9021887178998196,1.0
9,0.8845530594048077,1.0
10,0.8682420664549466,1.0
11,0.8590754890441227,1.0
12,0.849799020280751,1.0
13,0.8442579356337123,1.0
14,0.8286152236607013,1.0
15,0.8280854079866415,1.0
16,0.8255272995161762,1.0
17,0.8238611802559108,1.0
18,0.8099341349525192,1.0
19,0.8094553032573121,1.0
20,0.8075553237683408,1.0
21,0.8098913847602336,1.0
22,0.812551213936311,1.0
23,0.808723090642167,1.0
24,0.8055424467472495,1.0
25,0.8051372630700412,1.0
26,0.8019045565764387,1.0
27,0.8017980091880682,1.0
28,0.801752379556626,1.0
29,0.8015264751057248,1.0
30,0.7921595833529035,1.0
31,0.7829154584375546,1.0
32,0.7809132017604601,1.0
33,0.7808204087400472,1.0
34,0.7749341611709751,1.0
35,0.7625137478608794,1.0
36,0.7627536471987547,1.0
37,0.7620305023595272,1.0
38,0.7547897506574843,1.0
39,0.7539683124932719,1.0
40,0.7552534106250909,1.0
41,0.7563558916028075,1.0
42,0.7563052640652351,1.0
43,0.7536094363836952,1.0
44,0.7415326981686171,1.0
45,0.7376117987939532,1.0
46,0.7371183266715728,1.0
47,0.7370392557553428,1.0
48,0.7392263030598503,1.0
49,0.7372717475142455,1.0
50,0.7271506344914834,1.0
51,0.7257593335912846,1.0
52,0.7242965595626065,1.0
53,0.7225077454173079,1.0
54,0.7215962529480231,1.0
55,0.7213259035242915,1.0
56,0.7213791923114323,1.0
57,0.7215107702525619,1.0
58,0.7171423820151045,1.0
59,0.7143921625261923,1.0
60,0.7143861621516603,1.0
61,0.7119144937152776,1.0
62,0.7105882009047512,1.0
63,0.7057188210395625,1.0
64,0.7013023795269969,1.0
65,0.6997384678976768,1.0
66,0.6987848318940727,1.0
67,0.6972308440378041,1.0
68,0.6960344068218463,1.0
69,0.6944939366491805,1.0
70,0.6947864504137862,1.0
71,0.6845200516039529,1.0
72,0.6847317468246634,1.0
73,0.6837947912810203,1.0
74,0.6832747208831166,1.0
75,0.6801780372348764,1.0
76,0.6638311991785748,1.0
77,0.6631907946110878,1.0
78,0.6631975920919955,1.0
79,0.6628863767790556,1.0
80,0.6594371378950588,1.0
81,0.6596720364969457,1.0
82,0.6529593301512545,1.0
83,0.6528183858323187,1.0
84,0.6522174007113706,1.0
85,0.6530138288606412,1.0
86,0.630107411939895,1.0
87,0.6247545825988261,1.0
88,0.6237975503557626,1.0
89,0.6240322787732296,1.0
90,0.6261720122307727,1.0
91,0.6261344373053751,1.0
92,0.6292419937123028,1.0
93,0.6293567565925335,1.0
94,0.6292234936760358,1.0
95,0.6291608764149339,1.0
96,0.6262825691921929,1.0
97,0.626080519832228,1.0
98,0.6249166671318906,1.0
99,0.6237326693723562,1.0
100,0.6253501429454289,1.0
101,0.6252118054572532,1.0
102,0.6242205038081664,1.0
103,0.623569282834058,1.0
104,0.6178527878502473,1.0
105,0.6178411155796877,1.0
106,0.6147303305795979,1.0
107,0.6111371444721689,1.0
108,0.6110224942769983,1.0
109,0.6109581591779439,1.0
110,0.6109184532227412,1.0
111,0.6103983658551964,1.0
112,0.6105672357912935,1.0
113,0.6092241624178161,1.0
114,0.6089700652172135,1.0
115,0.6101309731020341,1.0
116,0.6102272611502295,1.0
117,0.5776509147657911,1.0
118,0.5782359808671492,1.0
119,0.5781019540477994,1.0
120,0.5680924173350027,1.0
121,0.5650253772410306,1.0
122,0.5636482368236041,1.0
123,0.5597919174924672,1.0
124,0.5600485017395874,1.0
125,0.5598719128725909,1.0
126,0.5463935238304286,1.0
127,0.5463374264052525,1.0
128,0.546692788066714,1.0
129,0.54489866890421,1.0
130,0.5454285613316563,1.0
131,0.54522615084834,1.0
132,0.5426125975685876,1.0
133,0.5423705635788021,1.0
134,0.5425000522632998,1.0
135,0.5415089697423323,1.0
136,0.5257730813906131,1.0
137,0.5268334124370517,1.0
138,0.5268537556493459,1.0
139,0.526866427089998,1.0
140,0.5253587433381607,1.0
141,0.5180095032408036,1.0
142,0.517249591416459,1.0
143,0.5169026558797719,1.0
144,0.516873576915784,1.0
145,0.516760449942163,1.0
146,0.5164116311931345,1.0
147,0.5151224059403375,1.0
148,0.5147614829251508,1.0
149,0.5164301556090595,1.0
150,0.5179689461041818,1.0
151,0.5179407327929828,1.0
152,0.5179199738889608,1.0
153,0.5179297656936339,1.0
154,0.5178476011924725,1.0
