Time(Iteration),EpsilonGreedyLinearBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,0.9736997043483189,0.9758602269640082
1,0.9502755701212674,0.9640187816611399
2,0.9456176158689125,0.941900803465033
3,0.9259775471997764,0.9074685848677738
4,0.918896679329553,0.8867896164209856
5,0.9178939939739976,0.8731129661252716
6,0.9134791436344211,0.857512197401688
7,0.9117383722036794,0.8521041460947261
8,0.9075523587984078,0.8333555869322836
9,0.9020180478985056,0.8219245948233886
10,0.8966815708599583,0.8115726984341238
11,0.8900705405264153,0.7913187112814156
12,0.8872793716375862,0.7697322800608959
13,0.8671645668626148,0.7327190733998898
14,0.8562262747418453,0.727737031165454
15,0.8512461659700508,0.7141172562387468
16,0.8357806240202882,0.6826509728434164
17,0.8315468399117826,0.6583429560750671
18,0.8220904551393786,0.6418481600101413
19,0.81407631073549,0.6374147485461323
20,0.8079339935270543,0.6220364610049008
21,0.8055867338833174,0.6211636726136057
22,0.7853658296410013,0.6192214079020188
23,0.7809138691992278,0.6128120487103502
24,0.7741697475537446,0.6027521915914477
25,0.7764633005678865,0.5985559510325058
26,0.7760591428872705,0.5930604395410195
27,0.7759949761162216,0.5876635125258671
28,0.7754675548198454,0.562181088381974
29,0.7765468132453023,0.5574576739603583
30,0.7706050371960868,0.5452486103381126
31,0.7672326545681158,0.5244783364162309
32,0.7681090796518291,0.5206512052745815
33,0.7685871756338623,0.519526268653214
34,0.768443838416973,0.5142803217066686
35,0.7569462395381448,0.5055056252547672
36,0.7438456996536754,0.49308318761641645
37,0.741254198097082,0.48966445167930506
38,0.7380141191053304,0.4864072592474793
39,0.738171948715931,0.4772336465595612
40,0.7324463695110286,0.46981309134092175
41,0.7274131792108347,0.46297834498743784
42,0.7273429016283931,0.4567961320002863
43,0.721853712329574,0.44951962036390414
44,0.7218136580110693,0.4469333874190265
45,0.7165692067661693,0.4433229775926451
46,0.7161107046272056,0.43740926768784066
47,0.7101029204755263,0.4319970806035431
48,0.7095264330055849,0.40577139136208745
49,0.7132762427156968,0.397940551835086
50,0.705354449580313,0.3961077448951496
51,0.699812772246847,0.39367380226474336
52,0.6997336044963072,0.38520769972411983
53,0.6987423878993366,0.38601297416076613
54,0.6994001645597036,0.3831146000052961
55,0.6864762931034389,0.38027438955589415
56,0.6856602894562698,0.37750891163766465
57,0.6860005411421014,0.37590456702275366
58,0.6741447098460546,0.3666561859794609
59,0.6740823122904084,0.3687410570474646
60,0.6728194242427252,0.36101942786545804
61,0.6578312388846103,0.35832261141014304
62,0.6570365534133373,0.3465773768166154
63,0.6530396839230923,0.34250156254946695
64,0.6547065351429664,0.3384943951780701
65,0.6547139376298836,0.34172703385546943
66,0.6551534228616849,0.33686842963521724
67,0.6552644918583173,0.33566866207292745
68,0.6550436141068465,0.3356530990778139
69,0.6549645890954507,0.33441204468345137
70,0.6545388505839167,0.3329275975747811
71,0.6531964279674536,0.32745536937191055
72,0.651262554124415,0.32548797877143765
73,0.6511496531496384,0.32490744570823893
74,0.6511051328561326,0.32411139452608045
75,0.6488388453633002,0.32273624199788614
76,0.6487565284513697,0.3229391415792133
77,0.6424939279237946,0.32528101908160617
78,0.6390863131582835,0.31867551514775855
79,0.6326622890885796,0.3192997069602594
80,0.6242036889036168,0.31779526364936034
81,0.6180289615735347,0.31682482979420856
82,0.6180270876426281,0.3143861125721862
83,0.6176613770246258,0.3096095052434561
84,0.6160619503721534,0.3057174147984273
85,0.6160984341562049,0.3066293423542878
86,0.6167240027569365,0.3052213456137052
87,0.6160479494846571,0.30263943301020413
88,0.6124812566951183,0.3024947511521992
89,0.6124859778906148,0.29689872295010644
90,0.6039322108913165,0.2972085827656316
91,0.5812278158309769,0.2915012537282023
92,0.5816977566304364,0.2906509984903497
93,0.5817084841666688,0.28509015978537156
94,0.5794781501873479,0.286245555791617
95,0.569192136606668,0.28423296294770706
96,0.5692747459364089,0.281668256920722
97,0.5701666075702647,0.28127266156922703
98,0.5680247720193432,0.2805893202414772
99,0.5679910715226487,0.27729615866652113
100,0.5682121715582047,0.27790792368923173
101,0.5680154823293236,0.27760970772726645
102,0.5641634459759707,0.27616685778880534
103,0.5604986581173572,0.27292228104397476
104,0.5560846963056109,0.27113895726406667
105,0.5552672342937083,0.26722138208636925
106,0.5568285094607023,0.26946419686834033
107,0.5480175148910538,0.2717693862547785
108,0.5452408831669102,0.26943341689170597
109,0.5451538735263571,0.2692664616234832
110,0.5441363414021015,0.269147614356519
111,0.5428460111174924,0.2653123410723853
112,0.5452436137537828,0.263978030557817
113,0.5394009702584075,0.26270949246495506
114,0.5393814371373257,0.26282207641702426
115,0.5384348303172031,0.26101741533580824
116,0.5293548365332597,0.25853957991390997
117,0.5277319585678997,0.25739085260791283
118,0.5269914586522437,0.24945210225893896
119,0.527941108732787,0.2459522881598047
120,0.512214978528324,0.24643874269634908
121,0.5120988144440684,0.24454391767578895
122,0.5119222737753165,0.24457407108425575
123,0.5119217298954017,0.2434318788439611
124,0.5045778902344022,0.23797696347726632
125,0.49164736503371315,0.2381096485514728
126,0.4916588295423482,0.23554170498818777
127,0.49170562985704686,0.23419370700475203
128,0.493007214057244,0.23345711593430013
129,0.4930966872399125,0.23377114002892516
130,0.4934078545021164,0.23405437805451595
131,0.4924869772624524,0.23442734097138648
132,0.4911242480038804,0.23256514017142282
133,0.491088459621691,0.23225131792721143
134,0.4903510528931041,0.2330671167886996
135,0.4859604078384111,0.22993720239165433
136,0.48373287956628913,0.22993199061239852
137,0.48123512153256864,0.22848234387582264
138,0.47983651549896084,0.2282530633338536
139,0.4771719282087096,0.22783739877226278
140,0.4758502911304232,0.2268632473912176
141,0.47582140142542323,0.22660314542553744
142,0.4760216310680276,0.22641307053195198
143,0.4643277631982454,0.22704935227475484
144,0.4658824903605542,0.2263696810706552
145,0.4658309062728801,0.22679576604405466
146,0.46587867183363707,0.22678969813446023
147,0.4645408871252181,0.22641092874766952
148,0.4610764660996349,0.2246190038028601
149,0.4489106794142187,0.223439230105254
150,0.4481749536604351,0.22269944045311219
151,0.4487356945256559,0.22336207507940103
152,0.43873411168975196,0.22228551005990002
153,0.43952949087980786,0.22008280617124248
154,0.439496958775701,0.21934184357286862
155,0.439491183486597,0.21842850150384857
156,0.44073279531166526,0.2168181460461966
157,0.4354597339933467,0.21613480019933357
158,0.4354386864379764,0.21595387149145645
159,0.435378593979962,0.21491327301107394
160,0.43530279124217097,0.21448545960224216
