Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.3991842679207135,0.47556847126464585,0.4952049716139582,0.44573826752553425
1,0.7976486119097881,0.8522164455084719,0.8921982981184067,0.8844034191792559
2,1.2039778498314708,1.1793713484656023,1.2734241539758626,1.2547398071872125
3,1.5148914207929203,1.4927474570472063,1.7311665514213275,1.7007201481620933
4,1.8641707215517922,1.9613175805521557,2.1324338526451405,2.06266220342288
5,2.2393856276301447,2.337230685212032,2.4116926248720567,2.4798712833534875
6,2.536533542167446,2.598855999115549,2.7255381466053485,2.864026607229019
7,2.8134451954372066,2.8904972546757666,3.182619211885487,3.3200504063363234
8,3.0542215613455026,3.1608506491001007,3.4493351514067783,3.7118704707798407
9,3.335715162696753,3.4103445006943796,4.0038365391284465,4.155232430197897
10,3.5440747573428597,3.7305364008047825,4.420602200732592,4.54589753791196
11,3.868757962540297,4.155398685919255,4.804067981701543,4.9899818859735845
12,4.081385355800969,4.391056895229099,5.312078222961172,5.48195451830503
13,4.370296136725043,4.6607455508297,5.591564265722573,5.90558186191455
14,4.581015222075543,4.941014632052031,5.975610181748021,6.229571774329058
15,4.793764743115963,5.202674891246265,6.421605945562608,6.500803300582125
16,4.966943147936825,5.4898120450244585,6.996331279258408,6.800157772166246
17,5.17547216610778,5.768766539920049,7.467516573132397,7.193569156357354
18,5.45375144471555,6.039987680685764,7.847405228272452,7.738360473793148
19,5.588570115013512,6.2861194163623075,8.193187079903192,8.092059463473714
20,5.785437096165986,6.462942176390892,8.592265631243272,8.408150963164427
21,5.924962781012479,6.713436972177087,9.067860515105732,8.797595498978373
22,6.043173884636146,6.980746047835963,9.475041462860972,9.175855953142337
23,6.1789472312866645,7.178816271044501,9.93251132695553,9.493868736431924
24,6.479753704020057,7.453831499015429,10.294058071406052,9.847733493104222
25,6.722603890099792,7.650567072051608,10.378706718577208,10.240058464587756
26,6.834456563128502,7.932967336984871,10.512841196585395,10.482983609582973
27,6.943131195110371,8.208826988888658,10.726630079443066,10.820397432065025
28,7.120810982839592,8.531825408626478,10.893914555011005,11.258727341806166
29,7.295233824692683,8.815939340266304,11.143785639527774,11.646584633102927
30,7.597460252812913,9.03097251139745,11.425996670228677,12.032418893676557
31,7.814003130780866,9.288927237621666,11.704960338963236,12.36092824818876
32,8.025338443641896,9.549199123456036,11.944103011098115,12.654325370667978
33,8.192224719591024,9.7669889695855,12.199039405808952,13.082984633722251
34,8.327732622240502,9.963391066886969,12.507824750067432,13.343907213506949
