Time(Iteration),EpsilonGreedyLinearBandit,LinUCB,LinTS
0,0.31154129351091253,0.423855164750511,0.423855164750511
1,0.662344177004419,0.7265834506830786,0.7636884647941032
2,1.0025865765390576,1.0177807806813082,1.1247025887709807
3,1.29601443048356,1.2785550214246537,1.4623839547798847
4,1.502506246234282,1.4728307376675263,1.7191343209520897
5,1.768510671330884,1.7103182490940534,2.114045543149954
6,2.0303790111291526,2.0195905451710514,2.3624690367541614
7,2.373272949920298,2.339164035356844,2.6376882872312386
8,2.4526361415485485,2.514610830414436,2.952447468851575
9,2.6609574020223574,2.761918792002472,3.218010837480418
10,2.7998530412423137,2.9601015686203804,3.3740800862059075
11,3.04229222893916,3.216531888038638,3.637678203139734
12,3.2006229430516653,3.474236185123469,3.933046010110252
13,3.464721442448121,3.856496835211984,4.3184982790472874
14,3.718617452468832,4.035120518402506,4.783032268557185
15,3.9230000195784824,4.2472171340832,5.094351428719851
16,4.132809675120365,4.427568066073903,5.388533129881642
17,4.319448517766071,4.550422464484907,5.687656261971545
18,4.675664261367617,4.835030548469264,5.981472067530342
19,4.789757786376859,5.093640099432888,6.305620227079821
20,5.006806493439411,5.372788303889029,6.6035621751865845
21,5.27805683997544,5.64142548680912,6.91024669055402
22,5.655927767312074,5.832492226437607,7.155673613923159
23,5.807582907295091,6.053908776890441,7.416095101248341
24,6.018551278579741,6.2626248318750495,7.875525055618202
25,6.337955263234568,6.617977466236761,8.160082671863114
26,6.507900746674916,6.819668920689,8.438466705013074
27,6.71791031522891,6.89469775319114,8.839041225287598
28,7.026482534852642,7.082197814390028,9.092408589905128
29,7.211164505594792,7.385112765219377,9.308086404348483
30,7.397931488334012,7.646526014523639,9.5359197584838
31,7.502271759728622,7.842644673003379,9.777234234934257
32,7.700354937993287,8.098909845141542,9.992796174464166
33,7.892379692239947,8.280918212523147,10.222092237416163
34,8.029719496478352,8.507874698095721,10.453371545770702
35,8.182793014740112,8.706741367543199,10.69288332964848
36,8.352630532328309,8.854194379521719,11.050026055538483
37,8.554983952561493,9.13707179958667,11.376857670775273
38,8.75937825442841,9.260560774217707,11.51521949979984
39,9.041757996371665,9.35171205015502,11.778932115279531
40,9.33516201704091,9.514928239223885,12.004928653027722
41,9.57235499158543,9.741586583159606,12.189418934641742
42,9.820875429076121,9.95624974978796,12.418003898434897
43,10.030420118757743,10.075725519266681,12.767604018883029
44,10.24493036653641,10.137447563450468,13.067381723946633
45,10.472691670644192,10.335037955342228,13.380573001350925
46,10.605956407801266,10.443549781456088,13.659923562334836
47,10.825632493357022,10.642240297626262,14.004561644211975
48,10.994111487317227,10.83439979773549,14.249312862413728
49,11.124356133489579,10.932276305935686,14.387060035357731
50,11.375902063416238,11.145050200582919,14.631915869285923
51,11.454297689420592,11.262584497196334,15.032062403697443
52,11.623081827835017,11.457596212075384,15.356549669949008
53,11.901886869516412,11.602174242870497,15.601390571907967
54,12.099799529829527,11.713661010493935,15.76628488294286
55,12.191707543779371,11.90631251540684,15.95221320427371
56,12.427744665330007,12.049145199865364,16.244895783012733
57,12.546304822084611,12.25420283477643,16.388008003709018
58,12.728809130301629,12.372730370658827,16.65078155937561
59,12.964615324201745,12.485983003837905,16.946686586185397
60,13.19793917236208,12.61361461788913,17.163763775319513
61,13.30231280819057,12.654933073610419,17.41302306974971
62,13.46427742565194,12.698235253762201,17.704767284905166
63,13.725286915406949,12.74468372546107,17.923851307277328
64,13.917625740946537,12.931794881253785,18.222905104806465
65,13.96083882334995,13.107782816961043,18.551593026466033
66,14.219478145104887,13.260216968091473,18.900871423412024
67,14.380921147908165,13.330143918374272,19.149951776828797
68,14.515915492894425,13.476536891395204,19.36538376604019
69,14.71427854912496,13.566805224546675,19.721206043614124
70,14.966308808308725,13.743502639576596,20.018487584018526
71,15.061839906209698,13.87593341006349,20.135620983198425
72,15.249587838055765,14.06728254206788,20.405962546849302
73,15.359399079661449,14.13339502345118,20.649666692460322
74,15.573257352283923,14.367280458193594,20.908547649655283
75,15.802353555740499,14.479112504003712,21.18014853192748
76,15.966094957236251,14.602877476124656,21.25217432914576
77,16.12668681294566,14.74907516359163,21.507977828951745
78,16.26527124691447,14.853513720152197,21.71623089534823
79,16.373407545702435,14.954835809428818,21.974109554017893
80,16.52406709192237,15.125331165289001,22.17149348607453
81,16.706567956849995,15.297632973751178,22.386677195312288
82,16.810591690061518,15.461965744409758,22.668406527254
83,16.96319069369872,15.575322978612954,22.96324890625669
84,17.193961438416558,15.650072398033496,23.22013071929519
85,17.390593900336206,15.782059034001588,23.44823276621529
86,17.570787813493588,15.871843771352562,23.643021297901388
87,17.722802022216904,15.938396258296404,23.936350990437127
88,17.88119577926705,16.053076076271424,24.205646896601923
89,18.068260278228156,16.241188254254734,24.403429206648617
90,18.33254689702884,16.369708207325058,24.733424636722013
91,18.673905524832158,16.485863274266755,24.984621447460686
92,19.01901471006168,16.616189953111963,25.260201584507
93,19.21846963699553,16.708502835214667,25.51390717404585
94,19.331720118125542,16.799105557956388,25.724445492480704
95,19.522698177589174,16.852087837289552,25.97578132604688
96,19.665435162536347,16.962656392161403,26.214096085624625
97,19.841933693489032,17.08762698651138,26.44565342256388
98,19.983185387187014,17.169407897040234,26.645887937369157
99,20.09006865343656,17.399798724822126,26.84047697629871
100,20.28473163410263,17.571602523140378,27.217159440127126
101,20.537757375849356,17.73610111853247,27.498589564163222
102,20.622671147284624,17.83885725829324,27.75537857741523
103,20.845644043969234,17.931276800913558,27.94469487312108
104,21.041327498955873,18.066104991452253,28.148387600318813
105,21.140199521153683,18.176389684764963,28.30038762047385
106,21.258914850336943,18.267999601077072,28.49846643886058
107,21.490647783362046,18.53786473963651,28.798686927669486
108,21.652758223177678,18.69167378579551,28.96621981270465
109,21.842950444610377,18.92977085778532,29.083240433931696
