Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.34721439930662645,0.4267855170062436,0.27049879617829325,0.2843407819141962
1,0.7790586238586186,0.7544800697304656,0.5660620763516317,0.6355982162742598
2,0.9904412242677726,1.091192274332006,0.7884290046480592,0.8534765094085444
3,1.1440897993609682,1.3580385764500926,1.102747606697355,1.1750701555089482
4,1.4140231221594006,1.558654823682426,1.4485853142542338,1.4508665968289625
5,1.5984893489011378,1.754317766951262,1.7018530456468617,1.7173170795429358
6,1.8472411009395973,1.925205715709374,2.077775845001723,2.0906330883477082
7,2.1666737377204983,2.2433079539870073,2.4575994022801337,2.438373314950201
8,2.4261256897661747,2.4510283938729924,2.832147303493198,2.602638609789158
9,2.684565903688683,2.690009441066402,3.188705625855018,2.9036895549194117
10,2.944224810166528,2.8560350676987665,3.5674767834643033,3.222976888738379
11,3.276220958970768,3.130347923620051,3.7648137751558615,3.4463896877298588
12,3.3872124592960615,3.295317913317098,4.120101588789467,3.6904656889095158
13,3.6858808419275904,3.533583659555538,4.444119365875688,4.032858342647274
14,3.8576488101414013,3.66292946456874,4.57705800921878,4.245019647252359
15,3.977281278776055,3.8398227631048,4.831357302969335,4.563868196178678
16,4.214139801368839,4.03003644722615,5.07442838571103,4.894224073546652
17,4.427311890764507,4.26064535064226,5.457983017276856,5.201082544622992
18,4.532881823385768,4.381596480779031,5.813526344999327,5.4578319407496085
19,4.616114531253071,4.522005658940811,6.110693101097054,5.766581947241035
20,4.732122005629895,4.661771249873549,6.4406769239934345,6.007650571626689
21,4.8898102726698625,4.841201655416655,6.742864284872627,6.325653043154796
22,5.076443515332043,5.079883883606521,7.015829225014073,6.568463271029875
23,5.2019140587199235,5.144572547333891,7.309173624309959,6.7616931332659975
24,5.296438897846742,5.2679431892441695,7.678971040073054,7.135582376529432
25,5.4219991789739845,5.354140437607914,7.8544360667883835,7.373704422157404
26,5.585650520959705,5.469681349015863,8.055331896674259,7.633932627627201
27,5.78508741717121,5.658907588847941,8.23219973870509,7.958134596132899
28,5.866639300222706,5.796719556701594,8.340676572119438,8.10037580175799
29,6.033837274222348,5.88081073939936,8.415440860328358,8.280809312206845
30,6.180661111127474,6.023966748028773,8.46452674117251,8.482436443659662
31,6.312940815649162,6.250738712722661,8.604250190327512,8.854420135124622
32,6.361378468730932,6.345409833284063,8.761697554180781,9.109589132148193
33,6.512551494964225,6.542867106988193,8.989853162118166,9.373423284285547
34,6.6100689816313105,6.640843368341912,9.20375253778909,9.665032807538383
