Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.30534580359741836,0.31823138573315063,0.3002360933114085,0.3058086939977354
1,0.5617587714744634,0.6042779066906093,0.6125092791135548,0.5678401108517741
2,0.9590490567168768,0.9647620905398163,1.0304845022680966,0.9568349369105256
3,1.286602100475114,1.203606628761309,1.3131148215382478,1.200913486162586
4,1.5694967719040398,1.5428210773142825,1.7085176823664816,1.6285962018003541
5,1.8136310238851816,1.8099616253573276,1.9965672675932928,1.7397473245419661
6,2.2030937022942503,2.035578040761477,2.259163960574882,2.1036169770315514
7,2.462421025045624,2.2369775515501518,2.519495688223206,2.4159327868742895
8,2.6778109623167494,2.3691958742711567,2.7639276490458644,2.6926774210212443
9,2.9138988967814856,2.686089125743063,3.0214538734092646,2.9131589689511523
10,3.1369518362184206,2.918214488780745,3.4025654934543845,3.2057026105960054
11,3.4035999653293985,3.110156452727063,3.778025760309835,3.3812533796574855
12,3.727014267639472,3.320859328174246,4.0465050198111925,3.6713801867793676
13,3.8477786014555426,3.5020010547637126,4.290653241064755,3.82093517405902
14,4.087996313276252,3.631638509418289,4.6873172255997915,4.168267210863135
15,4.263836496780887,3.8959189786715847,4.993979385635479,4.460258903702604
16,4.471887718400743,4.060983187200444,5.401459302600424,4.773654634777091
17,4.684619602888736,4.268384942350417,5.648006366317156,5.095718555154082
18,4.953546113760632,4.485005146865582,6.0198563783496635,5.347128308280864
19,5.12835224540065,4.67720443958591,6.345340478256793,5.6826286616869535
20,5.28567443534892,4.798184869913039,6.646379639416283,5.839262271231607
21,5.468754379306557,4.970150702244552,7.036239582178192,6.096117398369911
22,5.6583314279727,5.080726545891149,7.252528718964153,6.40187824426539
23,5.744597599179996,5.222846703991272,7.362758717921215,6.578936399964339
24,6.003335231462501,5.391477752167381,7.648151719975372,6.866479565943496
25,6.346869627078852,5.611382389596719,7.8117234454677655,7.215713791784603
26,6.501549264745643,5.756773727663655,7.973650519577481,7.539267535610492
