Time(Iteration),EpsilonGreedyLinearBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,1.1116599653188304,1.1501856068028227
1,1.0953329154496134,1.1721843279014472
2,1.1678943187089947,1.3478616844428672
3,1.1843276275406267,1.374385343573278
4,1.19180062331146,1.539922693776567
5,1.1305657113477117,1.5683113894061047
6,1.1335028906803601,1.5682043555238008
7,1.2145612386935443,1.6168806689337845
8,1.2007217479632089,1.6408215689214718
9,1.1981687165106423,1.709930251348668
10,1.2049166357021561,1.7376167424410531
11,1.1821895165084304,1.6784787285087517
12,1.2359707996457652,1.724925008069264
13,1.2454338418592537,1.738375350334397
14,1.2543180282835331,1.7313180011403975
15,1.2298096526932603,1.942476723009691
16,1.221881383442748,1.9825452627646243
17,1.2588068501899523,2.0563088077818494
18,1.2660921120480237,2.0715616596599125
19,1.260531688480789,2.103212559864251
20,1.230182405458776,2.111690425900518
21,1.2325245357788899,2.1194069188155717
22,1.2581522161830976,2.1376140801080092
23,1.2428375182082907,2.1100004673294954
24,1.2332535104105509,2.09882108304409
25,1.246393209316389,2.074996410204797
26,1.239836663673382,2.0875902006466562
27,1.2420229213595515,2.1352785494159803
28,1.2345861459532987,2.136130766331362
29,1.240576911048177,2.1449451117257308
30,1.2886531855024104,2.245918516969364
31,1.2294147551051826,2.2573803749407206
32,1.227705935110945,2.237403970267949
33,1.2407975422053026,2.2321683656147058
34,1.2199010618899602,2.247413781065423
35,1.2423275437146404,2.2242909179089976
36,1.2381368920945612,2.2315698154236303
37,1.243480130315337,2.2291810014292293
38,1.2929050343702797,2.17942469801392
39,1.254793971939431,2.2382962065596925
40,1.252928331331321,2.2439072197365255
41,1.2545285401357713,2.23543201616364
42,1.2739171992948704,2.2435636426716146
43,1.276403810145557,2.2337150729620068
44,1.3424885034919345,2.218057231082798
45,1.319020818300137,2.215038005598431
46,1.3176461976490303,2.1996987468565403
47,1.3171883427865585,2.2100817811046722
48,1.3307362648688748,2.220002046452428
49,1.3166445211440145,2.278217263062826
50,1.3220940393324598,2.279339275916459
51,1.3106511941833,2.2792967327145432
52,1.3141924581164086,2.270287742949936
53,1.3052820525803208,2.2643145626342234
54,1.3118955382235653,2.255945066244728
55,1.3164393561084788,2.26162667218584
56,1.3121571241847247,2.2679879373986664
57,1.3015371350205442,2.244786423915925
58,1.3018319382582826,2.239400234295982
59,1.3012905805289114,2.223379713997081
60,1.2998409411559095,2.2180447498289055
61,1.2896515658998378,2.1793318115312745
62,1.2898791227729105,2.170453970934575
63,1.2883073127877913,2.1906074082564615
64,1.2917677516915225,2.1890699798126465
65,1.2944410499202994,2.1789365828009415
66,1.2956840707984694,2.166450062117656
67,1.293605894513432,2.1773624268912948
68,1.289778124512073,2.173820870332116
69,1.2747515281867747,2.169115005684302
70,1.2837776663241942,2.1741333749483753
71,1.2808813212875216,2.1709935635966167
72,1.268627355002402,2.173087562934115
73,1.2659568406905202,2.1679681103687063
74,1.2812320786223874,2.1502264797322277
75,1.282082264468458,2.152106145874082
76,1.2815260031237812,2.149962259358399
77,1.2836037236343771,2.147960752333113
78,1.2835738199397526,2.1333369865556593
79,1.278911327977013,2.1374653448235525
80,1.2787694498610933,2.1373905455065234
81,1.2789258620824573,2.1377794063283693
82,1.2724513505960577,2.084505944824496
83,1.2759011739325314,2.0776703152994616
84,1.2800763858307858,2.0724067095306045
85,1.271296258809533,2.0683073791729583
86,1.302056398549296,2.073002457483029
87,1.3027315938245363,2.059661335390879
88,1.305819093887664,2.048808616404184
89,1.2885118213525408,1.993065746512567
90,1.2874098708248138,1.9612582367231497
91,1.2850754299846305,1.9599155841668996
92,1.287093843917004,1.9490492560622363
93,1.2783625244311037,1.9463859580486218
94,1.2798526246464585,1.916550860930871
95,1.2820148819330845,1.919411185012839
96,1.247391290312867,1.8920570693024643
97,1.2838303859009452,1.8971451535498562
98,1.2525349400671615,1.8858914153953499
99,1.2528017152016233,1.8796663022226423
100,1.2514216482472975,1.862036536780959
101,1.2525600149678526,1.8574948747528937
102,1.2536242616291096,1.8431445522950365
103,1.2526812081669234,1.8403307282515935
104,1.2642749668779583,1.840804207829581
105,1.2658796159723316,1.8434862614953353
106,1.2669590486252373,1.861611027406287
107,1.2671040155035487,1.8585457673508572
108,1.2659783266654823,1.8561486831093947
109,1.2659543222029919,1.8502194056083763
110,1.2659793000097408,1.852142826502734
111,1.2768558987394594,1.8555853841405168
112,1.2879850975467506,1.849878171608438
113,1.2815361984288736,1.8527095427264597
114,1.281614158153669,1.854037497625475
115,1.279802911241448,1.8512873442187323
116,1.2805679106195762,1.8534677072142585
117,1.2908390761179576,1.8407238726045807
118,1.2913635311903722,1.8359152981110984
119,1.2985477098135103,1.8310067593023518
120,1.298121921051515,1.8299260038838572
121,1.2890252915899243,1.8279760219463608
122,1.290106498254385,1.827718672281207
123,1.2872873392147828,1.8255857874516959
124,1.2869908950910443,1.8295619383340043
125,1.2954563170638427,1.8290097496781832
126,1.295651667383488,1.8336024883276185
127,1.295915199691736,1.8375171907251318
128,1.2957082949919727,1.8391804676458587
129,1.2927590665869733,1.8398766516335372
130,1.3196721838245227,1.8428936000547531
131,1.3102349142446545,1.816344564000401
132,1.3070317109539977,1.8249367540782668
133,1.309113180136289,1.819142973697891
134,1.3062536916472716,1.8120164815527737
135,1.3062633432804251,1.784479143575003
136,1.330356884331551,1.7858431412624114
137,1.3079896846626555,1.7847889548197453
138,1.3063939929962132,1.779264270256767
139,1.296613256513421,1.777263723699647
140,1.327955605218068,1.7778901453340261
141,1.2976463040565087,1.7769454537569522
142,1.301941941542537,1.7706019160352067
143,1.2837262570311387,1.7774264377866689
144,1.2772219444215864,1.7807438473423338
145,1.2772191328531544,1.7798237180267662
146,1.2771289298509436,1.7624803459759708
147,1.277036958173931,1.7632199739701526
148,1.2769491531062314,1.7630060172989528
149,1.2770389262245692,1.7615296640591906
150,1.2872328702363098,1.7617504480451447
151,1.2973253269003977,1.7608150232388209
152,1.2911814460220756,1.760965916762165
153,1.3089241738511181,1.7591333734617336
154,1.3096533382021387,1.7624157241920078
155,1.309481875939487,1.7627957302817232
156,1.3095803965543893,1.7644092594736116
157,1.2953037334471103,1.7634378961803248
158,1.2943645462361755,1.7655159015186825
159,1.2964419008101744,1.7648057519912275
160,1.2963229478777474,1.7636585397105056
161,1.2991044846038071,1.7631941130955446
162,1.337769866589647,1.767164239940982
163,1.3038356712379677,1.7825402775956714
164,1.3040225835742654,1.7797384960544964
165,1.303994223633873,1.7775336089466252
166,1.2620492917978934,1.7619750412747
167,1.262701838064852,1.7149345722622393
168,1.262322659593663,1.715278237439442
169,1.262071977041663,1.7140089391365603
170,1.2623629488838501,1.7141812732703154
171,1.28358599942922,1.7130006270493818
172,1.263472668304359,1.710384091979737
173,1.2779226119695495,1.705151025843103
174,1.265586070618034,1.705634870282482
175,1.265485408859139,1.698460917210392
176,1.2651069767808432,1.6994437460428315
177,1.264767335880641,1.6998494538567506
178,1.2643087457831494,1.697164602960142
179,1.264148486288338,1.6960532124428056
180,1.2643431278233521,1.699467363710582
181,1.2645411340379034,1.697945736339835
182,1.2643473402516834,1.694871628273106
183,1.2588312974513158,1.6731767315735842
184,1.2586682571093069,1.6721335959601897
185,1.258548504208639,1.6704858727587368
186,1.262220453129755,1.673330522511998
187,1.2537381536377947,1.681360864786437
188,1.2545415675922844,1.680853356359259
189,1.2547121765143852,1.6836482574604499
190,1.2561184120471314,1.6594666193354901
191,1.2561201647981455,1.656628909346756
192,1.2560419152427444,1.6539599765926496
193,1.2602937497805187,1.6369338196829077
194,1.2603658947334901,1.636074141552846
195,1.2605305575511052,1.6341934396449715
196,1.2623538268033407,1.6342565303766983
197,1.2612161076022215,1.6276384426759254
198,1.2639826223736983,1.6277871777580724
199,1.2637130557996934,1.6317276177981246
200,1.2635039542249764,1.6285153831694525
201,1.2626377083826272,1.6283682728544053
202,1.262678926710604,1.6255822588627216
203,1.2613989439458466,1.6171544100640112
204,1.261310274624854,1.615271809504503
205,1.261318897039493,1.614379656708693
206,1.2612491524128875,1.6142131639120332
207,1.2595135727668092,1.6142062252331257
208,1.2495818285112708,1.612910375059755
209,1.2507866272385393,1.6117230089154464
210,1.250686242989862,1.6136013269824059
211,1.253691437389405,1.6138624223794964
212,1.2536212775793714,1.6151289357604939
213,1.2536994053775303,1.6180294371761312
214,1.2618048283683103,1.6155683188062926
215,1.2614749657327653,1.612868109918259
216,1.2723714946765947,1.534437169142419
217,1.261643693356947,1.528782466211298
218,1.261618957450188,1.5063107059764307
219,1.2616228093167297,1.5087535088754627
220,1.2616940639914436,1.508079972384353
221,1.2615913717179035,1.50913820305011
222,1.2583497557859085,1.5075728250904725
223,1.258498927406233,1.5092849517587292
224,1.258478215211833,1.5068701750725513
