Time(Iteration),EpsilonGreedyLinearBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,0.9801821550794129,0.9990940434980059
1,0.9764781168434158,0.9819545437818948
2,0.9761257221647176,0.9716541799289027
3,0.9700371940237101,0.9612941903386136
4,0.9412371376777176,0.9489254804234498
5,0.932919690614441,0.9180657299155914
6,0.9224619361172193,0.8798951972426513
7,0.9192745295068978,0.8578341733069286
8,0.9179669321324717,0.8588263843443512
9,0.9175747298043355,0.8440380045140852
10,0.9110961139022743,0.8374167345605599
11,0.9111173223766225,0.791293781091729
12,0.9049851663217089,0.7796991435457551
13,0.9059803943463309,0.7741026627004043
14,0.897393294957965,0.7718172932404979
15,0.8972213151526048,0.7747159845610513
16,0.8947473419370491,0.7677115945829336
17,0.8900443505846282,0.7582773304910363
18,0.883796830958189,0.7389348218352758
19,0.8835982897316959,0.7360395529731407
20,0.8835318472584485,0.7357604502427461
21,0.8842385649987659,0.7260197115667667
22,0.8775586959480123,0.7164981948309563
23,0.876605412827776,0.7022481612057418
24,0.8761046996678935,0.6197587029465537
25,0.875883848789839,0.6130359089312012
26,0.8649139137347728,0.6147478286990319
27,0.8627571809030297,0.6118172729477586
28,0.8621612670594571,0.5994760473550771
29,0.8617048495374833,0.5884084969216854
30,0.8610078000322543,0.5905264677490368
31,0.8606028376962241,0.575932136274818
32,0.8587884364919237,0.5682585067768686
33,0.8638845944416488,0.5495137068501322
34,0.8626480156285974,0.5386660841891309
35,0.8603204057366634,0.45847377632032577
36,0.8604776158210227,0.45282559276020634
37,0.860447024002424,0.43286589006913195
38,0.8229153801571487,0.41141915094317294
39,0.8172098988181078,0.412977659549259
40,0.8169315000995707,0.4090091629786997
41,0.8168857733002033,0.40865194327430954
42,0.8188985746531694,0.40836603554555834
43,0.8211601246484707,0.36189802507272517
44,0.8211753440446252,0.36196245839230895
45,0.8208309708609318,0.35643027425795387
46,0.8208353002760942,0.353806664258034
47,0.8213439018518667,0.3486488432923609
48,0.8050842824492461,0.33750322110003017
49,0.8010829555539398,0.3363705406245565
50,0.800856741840844,0.32834619853152186
51,0.8008706928447313,0.3309883346754449
52,0.8007561876384411,0.33306178918328627
53,0.7917929486553047,0.3333349231373933
54,0.7897497150124471,0.3319006711565043
55,0.780730349635496,0.32720204001267184
56,0.7806508323126264,0.32310332327661195
