Time(Iteration),EpsilonGreedyLinearBanditTheta
0,1.0469390117420514
1,1.212363922600795
2,1.2611801881345373
3,1.2982631818632469
4,1.2984071960083912
5,1.2983611969984235
6,1.2925919060136064
7,1.3242472895272397
8,1.2958205465548207
9,1.3270405733546353
10,1.3054969301314014
11,1.3072484216922808
12,1.3036052065788353
13,1.3095782916220293
14,1.281888363301536
15,1.30645829908513
16,1.3153379363835043
17,1.2959595117817764
18,1.2983142232533567
19,1.3196945439467398
20,1.3415828044051126
21,1.3526168862055061
22,1.3446949105767474
23,1.333540682414714
24,1.332090429375925
25,1.294179167897243
26,1.3066877641779024
27,1.2955686731014828
28,1.3051531422567266
29,1.3005210099573732
30,1.2706705991949667
31,1.2759996379931309
32,1.2962643792465396
33,1.286770534339136
34,1.2956622281014234
35,1.2945111576162094
36,1.3270281086527835
37,1.3124753688048734
38,1.3047563017285573
39,1.306102922655147
40,1.294972565658165
41,1.3229864640813684
42,1.3265416360438622
43,1.3245615738888665
44,1.3322795999977761
45,1.332321381390632
46,1.333501984296552
47,1.369424475019469
48,1.339122717652027
49,1.4071731332303945
50,1.4169546764866752
51,1.3783795100768543
52,1.37578827829148
53,1.345004392690047
54,1.3537038947838318
55,1.3522328081880728
56,1.3439128963829292
57,1.3375949919462604
58,1.3354300601582871
