Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.23777791124067954,0.276898860759977,0.22128346033849566,0.244729964830118
1,0.522134525365441,0.5918496148079319,0.4724963143951476,0.5749840586026521
2,0.8228602451844942,0.8532290139296587,0.8120822074405079,0.8974109758015745
3,1.0359796388363776,1.0797954073139198,1.0744760616499627,1.1055508490109802
4,1.2600847673723081,1.402828267526232,1.3537330173592301,1.4338301060337695
5,1.5143856985447144,1.7457862133523316,1.6845300356213015,1.7355837559804044
6,1.8520864116420916,2.0271166356123334,2.1152021103884175,2.170073829629698
7,2.11421060995912,2.391101905586125,2.3291700062855836,2.420977356179912
8,2.3567180438101736,2.6722613167568996,2.75404098862633,2.7395174931026176
9,2.709851044268377,2.913436251427289,3.044772402805523,3.0509932726682996
10,2.985186085280877,3.226151262331841,3.2505752748538876,3.284704828589917
11,3.3193670849128303,3.5032522300498803,3.558201532323333,3.5849672542002855
12,3.699315226586377,3.8046036616411727,3.855908944990419,3.874377695652818
13,4.0829279394125795,3.9979060489239293,4.137329930301897,4.218107860421979
14,4.439799482760858,4.379048127709234,4.377263183373281,4.431450572409725
15,4.689974392435187,4.703061518936989,4.586005643641476,4.7062988627095965
16,4.99496223502998,5.012648487662115,4.900360965328565,5.007617497606552
17,5.279037304627644,5.316543071165874,5.265101144939374,5.333285852370711
18,5.6244473371928025,5.641264228102055,5.680644200254861,5.754770706690106
19,6.033645494260023,5.846546275536795,6.008091030757953,6.058586087129081
20,6.402602682590347,6.221296981585981,6.294462364605918,6.243684873714605
21,6.7609394314940445,6.445820079046936,6.644566726405759,6.655683159409013
22,7.063384904549194,6.7175514348531875,6.943290277993664,6.986500386651675
23,7.412943790506598,7.033914067988476,7.309930013823498,7.275346345162026
24,7.600402064203354,7.22454253765802,7.579801246022013,7.5514618069411386
25,7.952156480498713,7.476404059982585,7.840691811867873,7.8931542896206865
26,8.238745651058494,7.782627905712232,8.08184653427367,8.247516664169295
27,8.571704865476049,8.127232037806248,8.42886042086705,8.521514916425025
28,8.921818766327478,8.31916484591336,8.763320865561699,8.766475122091853
29,9.309657279380442,8.587684146889911,9.020074594165234,9.04692276190413
30,9.591762200257058,8.820382545384524,9.334908012528013,9.329701074223745
31,9.978286423462652,9.024823192110292,9.651529571359697,9.569252898409278
32,10.249502142601205,9.287373574244508,9.944539698909505,9.768841942592243
33,10.413461937119067,9.552953743368654,10.195811458548526,10.003919035887947
34,10.66032076480643,9.801039662525966,10.434074095434989,10.275383334067879
35,10.868220200038952,10.044891106058191,10.79152890487227,10.48020595182715
36,11.105051540517096,10.308493888749522,11.090971625675301,10.835640200427573
37,11.471774145581396,10.46210926214287,11.325462579877081,11.01479696998517
38,11.754994728807016,10.744659070207362,11.524634722324322,11.283404670121877
39,12.019676042199995,10.950476077548936,11.763293317481306,11.558390322635784
40,12.370345621336739,11.203427388966913,11.963102144933828,11.865668624296395
41,12.551476701226441,11.395469191366814,12.286485219554258,12.075362334257965
42,12.827554990420134,11.616838131706675,12.533108765929416,12.398869195119842
43,13.049203964957702,11.948132797252274,12.755968202498554,12.63896892493319
44,13.254192442927334,12.223694032944863,13.025802230730685,12.932949603767458
45,13.454239916001564,12.428460737129774,13.23529613606404,13.18426791711536
46,13.7121487263726,12.670518193142879,13.386905678676186,13.541337610903193
47,13.993845527960127,12.870086847074315,13.564990020404263,13.714326414147289
48,14.170651265616101,13.089835629378967,13.771309707115233,14.005236904995717
49,14.479293516131197,13.357334027809738,13.962053326203247,14.401528907727862
50,14.731802638903176,13.628009129750376,14.224131986914784,14.7539903258745
51,15.051950005325264,13.832933414906867,14.527217634834964,15.040810349726797
52,15.346980427040956,14.096347385850976,14.607960098829656,15.327698811286629
53,15.513147406793987,14.440391813365437,14.850361351973413,15.555970326371405
54,15.829258269161155,14.666734183114377,15.08610184902263,15.751949109131365
55,16.088763446294347,14.92353555037523,15.21588680529317,15.909900358493891
56,16.333032979465763,15.132410967250602,15.405437557344175,16.18480262382551
57,16.525072502373444,15.393591653189038,15.656825786098338,16.43713508432044
58,16.776043483953202,15.70984836142643,15.99116916754252,16.727497562725897
59,16.970912008074144,15.996362185209486,16.223375288217788,16.99462132222247
60,17.188592832563806,16.171901648324997,16.44322109014355,17.3166839485988
61,17.434814085436493,16.426039823124093,16.577534763471384,17.479309802832944
62,17.629848611239964,16.716403839811864,16.729249219426016,17.79009358850248
63,17.797575040826054,16.93794220389623,16.89768293959051,18.027202930055928
64,18.09161773428456,17.200598638812735,17.173274631088262,18.316824257825395
65,18.455100034626632,17.52322093373907,17.491983726547858,18.489562797507503
66,18.71280892853102,17.872581380992873,17.8435595135386,18.850257962137363
67,18.865272955225294,18.108589317077453,18.032561603067798,19.05521157807955
68,19.000939244222252,18.411828419813652,18.29592382318912,19.34504072640535
69,19.18979750768387,18.57304284337237,18.53220414505895,19.478145834380733
70,19.4417174214107,18.719083963179568,18.72642879208966,19.68769185543888
71,19.759799245573667,18.913148507024,19.02480506795148,19.972141190812128
72,19.95280610258585,19.05304515177405,19.153578569878167,20.255546764202542
73,20.21889611437287,19.37383019045837,19.3471985274955,20.414874714373568
74,20.42664099078637,19.634199978570784,19.46126180504322,20.639196102341376
75,20.667990260942734,19.91861417498598,19.670746743984207,20.822700103247193
76,20.764782689020997,20.15125524864608,19.922768552582813,21.070601701376795
77,20.9381881102267,20.33481642617946,20.179235111763756,21.28446043772233
78,21.173987194628086,20.583253018141345,20.38024927963334,21.595199276664385
79,21.40797385577084,20.79120245617597,20.660768595235904,21.832918092087127
80,21.602223867991825,21.004698717455387,20.88650397003646,22.09503551613731
81,21.723331864446845,21.20378837993111,21.14913841842174,22.4425563988427
82,21.83855275964892,21.396575168307116,21.325424670505452,22.767102725027627
83,21.983024065873355,21.632751210965314,21.639408308018353,22.905290073679694
84,22.18412526117056,21.902827475339457,21.831881355628855,23.20209323964309
85,22.393189097616613,22.125003606398955,22.251957647744277,23.47048958179603
86,22.639644816477706,22.27440027864732,22.459479026414492,23.784274629078013
87,22.79443574669046,22.512293620767785,22.590312780471564,24.1306108404462
88,23.05837181411698,22.706477706887863,22.72978420124733,24.376638389534385
89,23.27150545795652,22.82867250993002,22.994950313109623,24.78068870231033
90,23.41566698037639,23.072962457959942,23.23323729871499,25.03132057327835
91,23.633280784635687,23.325973545046597,23.49395543019707,25.237372336513268
92,23.821248124403347,23.46194981360948,23.75519074735088,25.55512851004762
93,23.944507327126924,23.667263909132352,24.039222035640197,25.85211428977531
94,24.097183195469995,23.83745699689497,24.316153568648637,26.092150870226725
95,24.21645962284447,24.09066707560794,24.576094514578674,26.40410564396108
96,24.515721095215987,24.40289361632414,24.803222575777742,26.6796900343883
97,24.79062263907369,24.559412363565052,25.027301829109142,26.893514863074824
98,25.010648140252762,24.7560820089408,25.247692581186598,27.19763140122082
99,25.10623421898679,25.00102552480798,25.520305435680175,27.423498084829696
100,25.21351705375324,25.191149207230495,25.783106773342883,27.669032944647352
101,25.478606441583832,25.299687747982126,26.122978781613618,28.00995930663036
102,25.630232117545848,25.49864897254222,26.316617654475966,28.19929803799983
103,25.805226647251544,25.60417471563382,26.579888725004572,28.44121279876735
104,26.0216625192782,25.84162899417266,26.79125549484048,28.74244703693925
105,26.075486247646513,26.05728571061929,26.962489924096502,28.935797003312576
106,26.127451911285164,26.36073673208539,27.202547083724987,29.11177054723434
107,26.333565687172534,26.54177976098248,27.4271655676833,29.291931138951384
108,26.48466853086395,26.812330572704543,27.693182442944696,29.50862402493621
109,26.60629032309967,27.06668952081867,28.0241244363393,29.66054103452526
110,26.799061965293355,27.194369662930832,28.233894015023953,29.868090893135086
111,27.06161136744975,27.34504269882844,28.389285401369733,30.172274396365832
112,27.17298806556326,27.58251529661977,28.743524217217736,30.392129121459806
113,27.37615292502856,27.698968832157004,28.95453618558731,30.57587937848197
114,27.50892336115383,27.876514964014046,29.1750486531346,30.908159697495545
115,27.600314865486958,28.0126854162226,29.439301403566496,31.1635214373986
116,27.783646399197245,28.109192215381796,29.688451433787357,31.281130117165112
117,27.99327347581548,28.362182185095612,29.93044730882888,31.48633043209862
118,28.11733237406803,28.45150064790611,30.138194551744835,31.81341026874952
119,28.395867364497853,28.594314856214044,30.446333204608067,32.02155439132638
120,28.48773821111481,28.722102516571322,30.750131497617,32.12842941693173
121,28.677656266178293,28.890870605693483,31.117559638768086,32.347655615835485
122,28.907506478993355,29.016105341477253,31.44232881782468,32.699665802377766
123,29.200682407841896,29.231944886758896,31.720821109920188,32.821364646221255
124,29.44620382558236,29.385514687624585,32.04849632315077,32.98668678909654
125,29.61455150189719,29.602687202196257,32.3324586881302,33.35700635121158
126,29.72064581281619,29.84543880434519,32.61609709953816,33.47990855708912
127,29.86125617029138,30.049975857086725,32.87711621318314,33.805611520678305
128,30.04680844580246,30.18530361178937,33.15734994620672,34.00910699418357
129,30.172889094327598,30.383343947579352,33.39485110055675,34.26539100494615
130,30.432341013655144,30.5084198870901,33.66395911871014,34.43722087560489
131,30.569333231408102,30.691132542579766,33.98630940881696,34.67223007761292
132,30.833114778776668,30.829594627729062,34.271727779066666,34.87127454884882
133,30.970491870097618,31.04713050481596,34.5873981714296,35.195073579421866
134,31.190854203908305,31.207691350169323,34.862948920269794,35.445362953266006
135,31.27429928543947,31.514747659590608,35.08439589364028,35.56486401705202
136,31.429746651341684,31.66757466827596,35.383041730473714,35.66295081086458
137,31.546048780967443,31.839409763506712,35.579360278500616,35.8594772166651
