Time(Iteration),EpsilonGreedyLinearBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,1.0873733110061246,1.1156383594679662
1,1.2631211216771372,1.3287736858936872
2,1.3648097704525315,1.4512594328877555
3,1.410889809598323,1.5094486517943018
4,1.4770544208005418,1.5176357623870849
5,1.4212128665949486,1.632226806527227
6,1.4976971586779249,1.7240319601080425
7,1.5413279944281721,1.8703780037731548
8,1.670394342283026,1.9926918453977365
9,1.6739736125431404,2.074614204245832
10,1.7582769668392804,2.2863873942164674
11,1.865422023115589,2.2208358747872325
12,1.8573513361010499,2.213756451742438
13,1.796412861587574,2.262149090054813
14,1.7832056896719515,2.2996129967294525
15,1.8226706934609602,2.306480195379428
16,1.792609577997799,2.2933233462222784
17,1.7613289664809493,2.314512549457508
18,1.8219088336256344,2.2981318254658247
19,1.8245646805782143,2.297832971114858
20,1.823561481950993,2.3280782122697223
21,1.8368437500451091,2.365583244907981
22,1.8336627594748598,2.421797107892119
23,1.81711222172191,2.370268016066315
24,1.834052540149791,2.3794522573900836
25,1.8676004185561308,2.4107839077278266
26,1.8688889877708825,2.4042291888453935
27,1.91663183169296,2.4603582049231676
28,1.9188826005163484,2.430226770540986
29,1.9724767589337193,2.4410260200915457
30,1.942826529581393,2.399233867683667
31,1.9258704555168644,2.397608182882259
32,1.9231275856992753,2.4394320704152053
33,1.90151297793189,2.4879866621454627
34,1.9315571893037524,2.510133821963663
35,1.9410283300758813,2.472870549583451
36,1.9616784673496046,2.4595466766448744
37,1.9366586374708579,2.43030614134087
38,1.9310779822298165,2.4459568563520415
39,1.9189320206352491,2.422700212345986
40,1.8568101751377195,2.4579537988597844
41,1.8549510885019465,2.409653075849475
42,1.844491303090128,2.413340352966629
43,1.8451452380389626,2.394650429493855
44,1.8340180156617165,2.385795864824053
45,1.8361444975159031,2.3962852112680304
46,1.8398199470798626,2.371329634964483
47,1.8170978462967908,2.3610546825826875
48,1.8054904881392706,2.3582860171130817
49,1.8019775570485321,2.3522593187618566
50,1.8073633551056552,2.3445119768957974
51,1.845014808161667,2.396905044082412
52,1.8398130008291964,2.3907744718948964
53,1.8420229357242106,2.389312317960914
54,1.835392420037811,2.381966628685916
55,1.8377062758049534,2.370820734151876
56,1.8956241233833555,2.3362660993335718
57,1.9054227735656455,2.34703270678826
58,1.9140100589464724,2.338771297467223
59,1.9577676506105803,2.3270613083720137
60,1.940485047975163,2.372083290225916
61,1.95090771114531,2.3566701552974605
62,1.9200240628249456,2.3570124571296676
63,1.9412224837886018,2.385091733135387
64,1.9289488634168364,2.38226978662754
65,1.9520942779597728,2.4175434674923917
66,1.9547466447953794,2.4410082621682516
67,1.9504756826161802,2.4350999712015162
68,2.0054819760941913,2.4262134835916536
69,2.0128252467248484,2.436724035200306
70,2.011497657427011,2.4394707072265285
71,1.9834160617492294,2.427294335797706
72,1.976696102410914,2.4262434468967617
73,2.0254930826616575,2.417287251446596
74,2.016663006680186,2.4280443621990395
