Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.40738394578468035,0.40951605593958834
1,0.6860309352445761,0.7965877744251834
2,1.087737674759202,1.2435114182987577
3,1.3919262697325778,1.5778604387272301
4,1.6910307378309106,1.9099064096516531
5,2.0967882876898725,2.3123867914101925
6,2.3849752605407932,2.6256856213595405
7,2.6746745298248364,2.8984019418360094
8,2.9576516366989063,3.1590949369264596
9,3.1997128283631042,3.575538579995977
10,3.3357704549740412,3.8873534322981604
11,3.667047450613881,4.157553630459807
12,3.9041075040040654,4.389580774809415
13,4.195603708240413,4.636729292375168
14,4.385819063701895,4.791428867071768
15,4.649881629344015,5.083256811482201
16,4.8757609208517945,5.389847090070699
17,5.136331625140248,5.685306356020213
18,5.36546445714166,5.911169516086332
19,5.5569633029770715,6.108263787051113
20,5.843423146624898,6.35180377603307
21,5.997685212663302,6.613713489876072
22,6.154668817635028,6.83040605609132
23,6.46054696616974,7.028917177016998
24,6.579167808243878,7.196466310922107
25,6.816560987778584,7.541753767138909
26,7.0911865817768485,7.766499044969382
27,7.253387786665587,7.947991648346796
28,7.7141554866125235,8.091034125243102
29,7.809834866599895,8.35435023866253
30,7.948509093460068,8.595282753107808
31,8.226752522228958,8.760611627099902
32,8.410090344006944,8.995920581607653
33,8.575423276326031,9.122586708194072
34,8.914113225608748,9.254452829663052
35,9.028063557790066,9.41065101375433
36,9.168698519488732,9.640902847063277
37,9.351645963124371,9.763719639769473
38,9.436460491785502,10.001403824642662
39,9.552689934397602,10.137492307162104
40,9.69443269746703,10.25356886477322
41,9.88985761513635,10.393721152060515
42,9.982721451912948,10.644107001323063
43,10.14599542905767,10.781950905765248
44,10.345678592391206,10.966247342310925
45,10.578290652716648,11.055878839490976
46,10.829915819442522,11.222636185154181
47,11.199631208101392,11.332340609063003
48,11.344624175356262,11.56252198053307
49,11.433209533735063,11.75961696641296
50,11.621386605766295,11.857775853060062
51,11.77370929897391,11.980044806015657
52,11.94928363171289,12.100729284526219
53,12.092772839568637,12.277204473449547
54,12.230639449304068,12.458431940525584
55,12.412205182855924,12.600433253578167
56,12.52774101454165,12.783934695729998
57,12.755600022815651,12.974371660887325
58,12.944553478886158,13.06910792796246
59,13.142592477774693,13.240114623098762
60,13.332464342089114,13.443704310623596
61,13.535205701216771,13.61228273881093
62,13.709289908566927,13.787211729979884
63,13.836703729717431,13.84607418598604
64,13.983137877814954,14.00438465351311
65,14.104713865054674,14.085924415189691
66,14.37015861902842,14.143866576709645
67,14.45111243579527,14.314905644032844
68,14.603620375119494,14.422522986965607
69,14.700958789141996,14.529326842035138
70,14.881922943743314,14.682426080436795
71,14.978683683104833,14.769793654752656
72,15.102323280230797,14.981189371084366
73,15.21565401407292,15.18734994606275
74,15.469973635078361,15.246212402068906
75,15.583179456982332,15.374230079911111
76,15.69978281713064,15.493034107608045
77,15.790655190064124,15.665456466313852
78,16.125991800600385,15.724318922320009
79,16.232194521298375,15.812550541587004
