Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.4532090151900626,0.2779279149741084,0.45790741039576643,0.3937658065233399
1,0.777875306832684,0.6289734092430559,0.6638097231475217,0.8345867623280174
2,1.0513524881733893,0.92470914759716,1.0304959662881101,1.254888936556579
3,1.327735317268684,1.213979298785995,1.3345705635218432,1.6706926976632168
4,1.6515388042393506,1.524831014300004,1.7759226533885328,2.043208518470257
5,1.9589061591768335,1.710339312132159,2.12015217822133,2.3796816653578245
6,2.194905637931763,1.9905549221366285,2.5368210505953663,2.8599772620711272
7,2.412807028962651,2.2810029228177706,2.8154367818708783,3.2775411973746196
8,2.629755469129323,2.402281188633117,3.074785092826534,3.650655041290919
9,2.901033154616233,2.603889007241096,3.381005924425179,4.055623765143865
10,3.080971872946495,2.849867343179528,3.8609475098295882,4.358491814299308
11,3.2807413124942513,2.97196162781472,4.206859952528712,4.6686277315031335
12,3.412972558550384,3.066803708126568,4.580864743797408,5.052786348484533
13,3.583491581984724,3.151633917696671,4.96751875711966,5.432577191511675
14,3.8725432978182006,3.3051592730003243,5.375659907951713,5.758193124316549
15,4.150680604194928,3.4755835462650575,5.850693267901168,6.148498271080227
16,4.350755300363933,3.6349702515946993,6.133780338667055,6.571039919418754
17,4.66460574570373,3.8319704296901316,6.479189305781401,7.017507487895317
18,4.941663613910045,4.0090333595815695,6.778965110382131,7.319140102191204
19,5.204244172937512,4.127682342145962,7.1978881183539,7.706359176648091
20,5.338590360067912,4.217253541880246,7.493995332626071,8.103139890731196
21,5.6384773940313515,4.3743478542299155,7.910521271533554,8.462687931118193
22,5.7828128679777056,4.4421008634243515,8.333089357910302,8.773979090768881
23,5.983579619774684,4.619521651813714,8.794674106036245,9.17832897724255
24,6.236931182361561,4.813321296531825,9.126114417273907,9.550396505108742
25,6.393734858306953,5.090189301978752,9.314754820274885,10.054208098539345
26,6.597129066077343,5.283342128421168,9.373780434671996,10.417399372026512
27,6.791011319770559,5.386245655848695,9.4700227464704,10.765288173710566
28,6.935194106703591,5.5562120570449824,9.672505116162437,11.148820648995569
29,7.383125461969054,5.64123777916066,9.876153141057427,11.612857854851272
30,7.530759301867559,5.737840683037123,10.064825767788474,11.836931384293024
31,7.65035986773224,5.84150649322864,10.29813997094375,12.224161966260608
32,7.913850289005171,6.041631519794299,10.591728826577384,12.55608805610115
33,8.15645305006901,6.096878398144898,10.80940090385238,12.877903019768501
34,8.332389374300773,6.2647200705574715,11.102783987902693,13.309556071049974
35,8.457694860481384,6.310533046349116,11.370625128405148,13.659871468996423
36,8.691474290479814,6.391543132081778,11.658167113309279,14.102870631762906
37,8.88937626456913,6.448715471945147,12.081697621045802,14.459409247445487
38,9.10761622338162,6.575470029321217,12.329451314727013,14.796354192821145
39,9.325148264822353,6.690185277689453,12.684032201989673,15.11640794480346
40,9.52784196216135,6.81548110892183,13.023771254424418,15.502874055558687
41,9.652136354268041,6.936946611923796,13.355956712876722,16.02432257826516
42,9.798463015734582,7.133326905362132,13.698269471104286,16.40299677028403
43,9.889150919222306,7.349570796239719,13.84719373502909,16.820280295596923
44,10.005126577573291,7.4627912114172785,14.113214690277335,17.021727479124614
45,10.086418646681846,7.560474013311965,14.451159896720412,17.47473335015029
46,10.203181893339309,7.623298365556347,14.826374773789642,17.859759437658354
47,10.389893719032445,7.8291771864912025,15.138435348554697,18.17878621035766
48,10.56593409162347,7.892217270253053,15.47515128188292,18.515778757281502
49,10.707337751979036,7.985826480551983,15.878358214747825,18.755834672776935
50,10.872827238755445,8.08876158434184,16.14553878865626,19.106781060790574
