Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.3688905897203516,0.3894057779838015,0.3929353672007303,0.48509982312688293
1,0.8057508141823206,0.8517254171979459,0.7810191386613503,0.8229546706055817
2,1.2051022489515206,1.2165895752580913,1.176950243706037,1.2134971854689671
3,1.5720936409544501,1.5725922264962982,1.6896944666717957,1.565652924344133
4,1.8944133314876694,1.8304349864212668,2.1345519394692243,1.91447359215002
5,2.2420868374557736,2.1806186301535515,2.5597842646722917,2.273722324644058
6,2.5923875605641973,2.4989084780599162,3.053940280610709,2.6982025910466443
7,2.9279944770332653,2.9065322949474695,3.4437445685176784,3.0792323646207835
8,3.371017118012722,3.247624002136127,3.8419041570842594,3.5435916316165126
9,3.618876888045181,3.589343115061009,4.256016278624085,4.080295040939793
10,3.8088369949393432,3.898458461803453,4.567775086261674,4.53765159243673
11,4.041821813450062,4.198193844246395,4.974655112500011,5.0122949797366685
12,4.393264595509259,4.474800360210589,5.432176499599786,5.47437599633879
13,4.677254393250183,4.864766522789343,5.8150616746829735,6.06599970432292
14,4.9229673091104305,5.262029014514923,6.234041071253541,6.591915862484429
15,5.258033161470494,5.534076657872885,6.595145846761862,6.979824496640489
16,5.48832175980379,5.80872966013461,7.008026953403359,7.389124391290508
17,5.724929764024412,6.0348758525545145,7.390778888730213,7.841864936537155
18,6.106025718386457,6.330285817016447,7.820733004674456,8.29262897283012
19,6.303247631010706,6.519828753273707,8.2290386110154,8.647023487208427
20,6.490018300919634,6.840345093219126,8.693666266480037,8.990280279966893
21,6.771933975201745,7.144150987001723,9.21637116377549,9.455348426074899
22,6.977499830005058,7.39319420115653,9.691088730246543,9.796102627814134
23,7.170259071427163,7.570296864734184,10.183813563617843,10.134204599357682
24,7.391801344172772,7.801222041832723,10.552973119674514,10.60937332050376
25,7.593659959351001,8.14093712388549,10.59864385142257,10.98729999918089
26,7.747685493226034,8.348095503982547,10.718927913781256,11.44264795892917
27,7.963073364968745,8.57552987011906,10.922000855267477,11.808247612042258
28,8.089519451170668,8.835716847118295,11.150660218552968,12.166910899718108
29,8.261461443631791,9.107808408364841,11.419926608223005,12.679157133063766
30,8.502517020774455,9.34177986938878,11.722587827405164,13.158845839240374
31,8.665604180771563,9.64503873230628,11.976429559820525,13.64048468345128
32,8.811877567729356,9.911414626407424,12.262294116310915,14.091134312213072
33,8.947341638297008,10.057979043396198,12.549415009139386,14.450893173099951
34,9.127971317761554,10.21964688330837,12.80571931291739,14.795796981952758
35,9.445957591323921,10.479377284461766,13.107249486648794,15.223991624031623
36,9.58773387856303,10.619868953333365,13.475452988723566,15.621014018620752
37,9.744393984590856,10.803064276929883,13.793238627001514,16.070904880540734
38,9.959510886643985,11.08914620524575,14.058346691376608,16.533032722058245
39,10.170386737078857,11.383335592182762,14.408024535460589,16.982984933443014
40,10.386164023225431,11.615029728513697,14.80628703951117,17.353300247905658
41,10.601579462571472,11.825825413325406,15.216774599198567,17.689019532986897
42,10.754215705021762,11.973754966131809,15.602349210689207,18.23053027163048
43,10.896236278100833,12.212163185073171,15.974163880087954,18.594511319956084
44,11.196897216184684,12.4695572985124,16.434093824589766,19.050128287747988
45,11.313959020849847,12.799673910696164,16.89267934062066,19.553305303066995
46,11.48444578885422,13.019557337424398,17.28327110995827,19.962710061336317
47,11.634883242704571,13.270688760693151,17.664107403382925,20.35308348886804
48,11.814689922261014,13.512940569288705,18.05383946899403,20.733439950210503
49,11.993365782718945,13.781200245721706,18.313175405187785,21.25859371409565
50,12.244304054374052,14.024717882699786,18.589229143097143,21.681240383894814
51,12.466539484519565,14.23379692732576,18.99631057851478,22.108712512496975
52,12.659737383386599,14.478939081227924,19.3819044995488,22.560685386410537
53,12.953406338806696,14.704252487397389,19.78624255637526,22.972161510554407
54,13.170963538673538,14.847027747795025,20.215904583206083,23.270243378528843
55,13.30115334132618,15.064243892076004,20.634965773652304,23.761028038936793
56,13.446085295628501,15.29436582646334,21.038990947012405,24.09514648231421
57,13.688665304170266,15.479408284228532,21.368604067724192,24.587655398351494
58,13.905526814370319,15.694590005919205,21.66766355722752,25.028357694506077
59,14.075726554954661,15.945634685584334,22.025416270421523,25.405126158346697
60,14.170045921295104,16.08272767489364,22.315168671422832,25.92957690482597
61,14.472656478971327,16.216343819141763,22.727845730200563,26.242634848806993
62,14.638428310550747,16.35124578984538,23.013963015873145,26.556327276331153
63,14.825072220380695,16.513706425657368,23.28209474960866,27.059843181140945
64,15.031285596782505,16.71571390591904,23.65518575863369,27.42681825726073
65,15.252365015087104,16.933183837546082,23.950484580866195,27.917285963378713
66,15.441752401822294,17.198795652353,24.34383616700602,28.283309090446277
67,15.558691354501292,17.325027786615124,24.60091811208764,28.724005622269356
68,15.711308830433072,17.500302149001662,25.028017351442138,29.07112849758152
69,15.911981837666891,17.626534283263787,25.470324661330416,29.398479178452572
70,16.062626678602395,17.832452849509075,25.86144338911414,29.854376077588
71,16.251227471345672,18.024552983530313,26.16701852828113,30.27473530218926
72,16.433013285476083,18.25019126987436,26.46429610093109,30.635967705525967
73,16.67710822459979,18.49889738343029,26.869682254669623,31.018366590165197
74,16.889507287593908,18.621525974198857,27.25716437847879,31.412440590884643
75,17.08463207307893,18.85643043961101,27.696137301346806,31.82556409946786
76,17.207178428524685,19.03660736247757,28.152838113898497,32.211129747929256
77,17.402268032209918,19.224704058052403,28.377545511701886,32.684369012356385
78,17.518160245353204,19.342966740738547,28.688850864679573,33.213271927300845
79,17.663885628028552,19.57427587368213,29.101981800167216,33.6730607904557
80,17.929665968062995,19.692538556368273,29.428734222398667,33.99085877369796
81,18.095438419484235,19.860248205340838,29.764720862530044,34.5188090831469
82,18.2358317155513,20.049703450759704,30.145954342140847,34.971959354652945
83,18.383325333108537,20.351119602366758,30.552829005699188,35.4124239188845
84,18.533277620618122,20.592549427182472,30.880773880536076,35.96168809925978
85,18.71249379359964,20.810860406421853,31.214012841188044,36.36985735385527
86,18.872422299885397,21.011335602908346,31.461259023879705,36.77321165593214
87,19.019751067739953,21.150977741870268,31.732014511103493,37.351783066840895
88,19.126997553317477,21.37839486601682,31.965112358858796,37.77034543587816
89,19.22361916725167,21.56608012983657,32.457495927661896,38.111049969725215
90,19.34189366702898,21.72853988746437,32.790289593409554,38.46883675778947
91,19.430805491986426,21.940170762070473,33.12822176794686,39.001318493826524
92,19.569722316670465,22.134480160000468,33.57013436538931,39.30968509871274
