Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit
0,0.37881933562296516,0.4120841424023049,0.23291053059460604,0.380273857582855
1,0.6798963064227559,0.7629698882475546,0.5272388772907529,0.849853513006909
2,1.0016196991593558,0.9808395300749873,0.9754595255089837,1.306117864040929
3,1.3682023999546393,1.3395346848641112,1.4185160724990409,1.6035852993470041
4,1.7021363090808361,1.5061921223560648,1.7286854555289914,1.9411903126573964
5,2.033040039888221,1.6743086485310623,2.1543123182417814,2.270861224069123
6,2.231133854527071,2.097074191445583,2.5573101267302563,2.6559173176824027
7,2.3905988283834683,2.2891181306103556,2.9735692287175777,2.9874901287818405
8,2.7393978849590424,2.556388447563232,3.180127590385417,3.4447277279024617
9,2.949989526061549,2.8260021536900295,3.651855091508041,3.817226408686488
10,3.173353162868817,2.993481602734072,3.912714560649404,4.097326083404576
11,3.4396663856378615,3.157875263472559,4.29747132022125,4.450902139311568
12,3.661368132911876,3.3185443342104777,4.658305644765374,4.767381446740385
13,3.8217304582171834,3.544133774416438,5.1738703172567035,5.140657640888891
14,4.08924337463011,3.8317423503816905,5.5055246094792505,5.4923938167440784
15,4.368176990153575,3.925041934031794,5.787444596396967,5.877658501362079
16,4.636283408876524,4.174123417324043,6.110987772380778,6.266500080358398
17,4.907586573616548,4.375697560246861,6.536736169287211,6.538304406759212
18,5.095896187806074,4.613818808015229,6.861022759527643,6.876379903960876
19,5.294669543350238,4.768383052451834,7.226448120556131,7.1974573241232775
20,5.598909149701166,4.9646682905969115,7.564565534477102,7.5828218593512755
21,5.870854887587333,5.133104226417232,7.9667400462646984,7.950751110257468
22,6.094065739274346,5.291643042989753,8.442731700948475,8.278166921366024
23,6.170657563914839,5.485225147887004,8.84139647619303,8.663925015996934
24,6.326276480849587,5.680895789494722,9.247178722952153,8.972241269148197
25,6.502221077431156,5.882467539458375,9.469728011572023,9.227574766401363
26,6.634128326492879,5.991973582303814,9.545204494821544,9.54038015543252
27,6.81622479928221,6.198939771108806,9.703430775091352,9.919742019429076
28,7.0321595940622945,6.298545176496736,9.879173858982115,10.270823325694497
29,7.107742886646411,6.434236704950473,10.084680286848373,10.685085639408339
30,7.1953033402312006,6.640968142950553,10.332729004805476,10.977030780275687
31,7.3065680449359345,6.771432622992338,10.513991196744605,11.262170647423137
32,7.471259739231162,6.987500284749818,10.740650236833641,11.520645997009385
33,7.692835783067719,7.202298669772811,11.018999073018344,11.935843120378129
34,7.820656736713282,7.312316126239533,11.27615812234534,12.29869546269721
35,7.919388204304608,7.386060808870049,11.535380386018442,12.636878386562358
36,8.1511885880937,7.52479667542511,11.739969847485021,12.885888634836032
37,8.25759466119327,7.7330219294363856,12.060498760564368,13.135016037777362
38,8.315140233813894,7.986669181162507,12.422604156982366,13.530492448221409
39,8.421892423978068,8.085643307341064,12.762310785724281,13.897184547045683
40,8.485027125671909,8.34695248339628,13.112847901305411,14.15775308425999
41,8.574735530713404,8.484941998367079,13.44738588148562,14.498937019492507
42,8.738498678868346,8.621839679596302,13.726165400501552,14.856347657426781
43,8.85883723301182,8.790241287496118,14.003347800009232,15.158006660445881
44,9.04741571334452,8.871610161635724,14.176739068988903,15.49649532070094
45,9.264318097448756,9.031993908888401,14.474808593900722,15.759395807691684
46,9.407912612219029,9.20919805112591,14.832615559854577,16.062747139417834
47,9.564864685634934,9.344766411946436,15.190143091151418,16.373364485741412
48,9.763047830556697,9.46716655966115,15.561854243091625,16.59270298985225
49,9.894114961762408,9.640077665571336,15.849096212298912,16.969482206122972
50,9.994955599535096,9.726440021303343,16.222183386390466,17.250725588225485
51,10.029632702818292,9.935853680522984,16.581099037575044,17.508537409705998
52,10.158699901643342,9.970065415103267,16.984715340545645,17.795258066292497
53,10.204374319209926,10.054515494448905,17.288627151162295,18.041821781811294
54,10.293840088180193,10.253418011129995,17.652328811653764,18.409902310918856
55,10.345549704011061,10.417889121246787,17.87259014528124,18.724374120770243
56,10.447242465401022,10.643820677217725,18.211598838631865,19.057232553876386
57,10.521563340507509,10.684909793470382,18.558338240350366,19.334699618584207
58,10.649771974637332,10.769383971208141,18.89974167314373,19.58351010180095
59,10.718365355639888,10.869140043527889,19.228516283072562,19.853295926859897
60,10.817992029097898,10.913832464187479,19.584485794852668,20.130596476938294
61,10.85804237680447,11.025225654703375,19.885947215116033,20.432992409895128
62,10.898092724511043,11.138814621389704,20.18876309085111,20.8702889598864
63,10.971196127353968,11.221535882303208,20.54042604047546,21.094093713653763
64,11.07554751569622,11.360184100224997,20.843188610582988,21.382393481136376
65,11.147077465559162,11.53237746615947,21.218187393278917,21.703411196728556
66,11.286496491530878,11.62533648689937,21.427010634372685,21.9522225752164
67,11.374618875598888,11.821332791828691,21.7827390186225,22.316541845798145
68,11.42187820903109,11.862510952019079,22.079779357557275,22.55889501129236
69,11.521699585720073,12.009855098431705,22.427828936380713,22.904554079685383
70,11.582714642825074,12.180283165946056,22.748004411979842,23.204891181803998
71,11.662850767238746,12.232204578763238,23.0943274593264,23.526996870909738
72,11.782205833394132,12.348343049465733,23.385060693975696,23.78559989626107
73,11.829263129169382,12.616449512477532,23.63252424032147,24.176202512345373
74,11.890710913646583,12.778653070803085,23.8988760971988,24.45112229760759
75,12.00732655098546,12.931685363199879,24.256632432081197,24.76691792388864
76,12.210792549163866,12.972774479452536,24.47787803342638,24.94477590900751
77,12.265330426233295,13.071450864080447,24.751160561172412,25.13903264470334
78,12.394994406471596,13.192518375280418,25.024152190194435,25.46137391847058
79,12.498037076617212,13.270366138106024,25.32784602297894,25.757273333662283
80,12.72900217689903,13.308294940730065,25.628088327130577,26.090594232736702
81,13.021891123688226,13.44271353558673,26.061171699879928,26.403235542416173
82,13.137900462850368,13.573017779662527,26.379021607809886,26.666639083186585
83,13.253261472208848,13.615585253701557,26.688379849253597,26.89773414541988
84,13.339197776981013,13.716256435800522,27.009553037540265,27.242376606418482
85,13.465817941899312,13.820368777479757,27.301817858222698,27.521386258883233
86,13.560407444796155,13.975109294138338,27.67145567941493,27.731649165167266
87,13.627280258986948,14.05021804799656,28.048041989896024,28.108264859653808
88,13.833919121134215,14.087862072732548,28.354348870978264,28.370934840216016
89,13.948392219742441,14.12579087535659,28.54678157037109,28.689321604985402
90,14.117871805867424,14.200339190855734,28.851117610376924,29.03976435368521
91,14.195108748197518,14.46919701488163,29.132930492101632,29.35555429849444
92,14.402637374377338,14.619348560870847,29.503583959216986,29.67788623396205
93,14.533078812437205,14.640993361134742,29.844099926165548,29.97191830151965
94,14.6223514816466,14.790944535135742,29.99274561981946,30.25928399832111
95,14.72739420363369,14.955313233907669,30.2639866903466,30.477332724109452
96,14.959426464981348,15.021926649959497,30.527684010717927,30.75284136903632
97,15.05066581930708,15.173234619331424,30.891741966350658,31.07877608879927
98,15.27977977889137,15.194879419595319,31.27509807419495,31.381393563751924
99,15.419651399988402,15.354399644570458,31.640325633957907,31.62777540960858
100,15.572467750368663,15.483549263594545,31.959701392679683,31.870901454153493
101,15.711187027122595,15.505105019920709,32.29676900888477,32.109014173884894
102,15.782902054962559,15.554864430427566,32.60439126889226,32.38927534389696
103,15.812684958453563,15.632672127776289,33.02576104586767,32.65898803347162
104,15.916413866906712,15.753953006795225,33.16986005671775,32.944892099976
105,16.01077672610608,15.86228610403604,33.447807835244205,33.27790788828496
106,16.040559629597084,15.920080737300484,33.74722241118978,33.585063653525985
107,16.070342533088088,15.999721085179837,34.07061232802785,33.85658441908032
108,16.155531951177878,16.163953744969668,34.28347118951796,34.10818033687569
109,16.18531485466888,16.257428986333146,34.60028227553027,34.37762000641387
110,16.2958964234348,16.319353544483988,34.89781232577583,34.64204053939303
111,16.49238902513917,16.42019269434546,35.174950647176985,34.87698823020701
112,16.58696248462868,16.473387374910956,35.53140763652917,35.04953963741595
113,16.695582574902726,16.573726065772707,35.83818264100571,35.32278665922255
114,16.800062090587527,16.63765176985346,36.1290499997884,35.63406319157822
115,16.85697755212361,16.659794685300664,36.38266723396631,35.90042301970876
116,16.960116723794506,16.73701901760853,36.72138257643893,36.212693175003025
117,17.075875625786924,16.832002353253685,36.96537688740825,36.44040945504265
118,17.16316867228722,16.853558109579847,37.28453394186344,36.7401177508757
119,17.226558830070037,16.87511386590601,37.620824985696814,37.04838656589507
120,17.256341733561037,16.895712330321704,37.96043024100886,37.41289305488452
121,17.37155489349685,17.003874858460218,38.293832110605614,37.58218788337019
122,17.559787660994015,17.13235223572169,38.72264132418757,37.849285762718935
123,17.68123664210474,17.284257446928,38.96826695272314,38.201781445461975
124,17.837344788491595,17.365515343375286,39.1937046927013,38.43132137756969
125,17.965505259471076,17.498337976166145,39.44786596984607,38.70847448468051
126,18.065833480579755,17.569571791590928,39.79351624998704,39.09322382042681
127,18.144059470886436,17.63671282267695,40.091451762069376,39.25106457806995
128,18.23528195151524,17.759957748937097,40.410114999189474,39.41368748276316
129,18.26506485500624,17.976101352355432,40.69681553430411,39.67828491376638
130,18.40159968420692,18.052725133899514,40.98474820017289,39.890043041505976
131,18.535167650805,18.180151697802582,41.30929446732733,40.192001090384835
132,18.564950554296004,18.313084642379064,41.55958299890255,40.426645197380665
133,18.667188286649488,18.34172616640772,41.94063633815101,40.57501658252248
134,18.817842082348715,18.36694892232162,42.15298962904659,40.90857455884965
135,18.94277068402266,18.388593722585515,42.46904401516916,41.11387639662535
136,19.05147646301142,18.5625548168725,42.74362924249844,41.37159034538519
137,19.126639147931563,18.679532630915396,42.99744495699388,41.71532398915321
138,19.156422051422567,18.7377969440544,43.25617027210726,41.949234984443535
139,19.251982126871425,18.75944174431829,43.65028964597182,42.31098902522683
140,19.35124252981377,18.843884775311437,43.908581933531735,42.60552094657802
141,19.381025433304774,18.86552957557533,44.13618555181786,42.89458501606849
142,19.43177858372,18.890688636308425,44.39754896458144,43.17376918965694
143,19.558140593817082,18.959798464091133,44.66117885056132,43.41141919224851
144,19.660378326170566,19.089401623064063,45.02913542393018,43.66558850754275
145,19.857941331095997,19.17943843626857,45.329197723775316,43.90511566980831
146,19.9514858081451,19.22691594430851,45.55444836414882,44.09744570532509
147,19.998300538872197,19.325116908956495,45.85687415292976,44.33637879238359
