Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9786036664579232
1,0.9544181053867842
2,0.9458821847319147
3,0.940147243539738
4,0.9260898665467383
5,0.9035589566264071
6,0.8908498946770628
7,0.8877376740784862
8,0.8791774274712744
9,0.8745389596413512
10,0.8678252617067796
11,0.8601586420647701
12,0.8564366169869846
13,0.851770131919477
14,0.8428844906131502
15,0.8431572321666427
16,0.8407089639952027
17,0.8301116113253064
18,0.8113917032364826
19,0.8061142749279295
20,0.8022575114299126
21,0.7941906001143526
22,0.7945291570236177
23,0.7897148436655207
24,0.7857909448396329
25,0.7835399620457951
26,0.781441881473363
27,0.7783188769191143
28,0.7781231148450243
29,0.762352591396644
30,0.7631251438441332
31,0.7621426831822313
32,0.7621281409314624
33,0.7617086973795802
34,0.7545284807613795
35,0.745761681579356
36,0.7259788099638561
37,0.7143835997934882
38,0.7079863331632974
39,0.7078098221448443
40,0.7079523024455968
41,0.7079818277662426
42,0.7050355057685308
43,0.6985969759588768
44,0.6985603041087732
45,0.6978568001989511
46,0.6908632992348519
47,0.6908999337057511
48,0.6901267109713117
49,0.6888082052220407
50,0.6847226314326844
51,0.6839678828494883
52,0.6841816069521586
53,0.680728850236532
54,0.6699136323886652
55,0.6688828007097168
56,0.6659863593588395
57,0.6491852940498517
58,0.6491674723869696
59,0.6495307540674826
60,0.6495728896990677
61,0.6464464714173842
62,0.6441953634350214
63,0.6259992130048158
64,0.6283443614165778
65,0.6179785862303446
66,0.6177702599385057
67,0.6150387832704685
68,0.6112312404066956
69,0.611946775920366
70,0.6118692819973957
71,0.6097144820354641
72,0.6114294038462347
73,0.6112866292176737
74,0.6068115204604474
75,0.6069415940290885
76,0.6073699426543854
77,0.6067282396779634
78,0.6067894276359984
79,0.6066803277696124
80,0.6071300109671108
81,0.606860626507865
82,0.6069214146503911
83,0.6098720286191639
84,0.6090803172174507
85,0.6087583023008707
86,0.6087873008651942
87,0.607130373657986
88,0.6071624062901182
89,0.6080225227403427
90,0.6079018749836578
91,0.58341686098993
92,0.583779937333277
93,0.5819714891888174
94,0.5816928429707307
95,0.5817134655086099
96,0.5815821516605056
97,0.5792981332750388
98,0.5737840736064393
99,0.5740518331857185
100,0.5716620571076884
101,0.5688466994733632
102,0.5677195918326471
103,0.5609379491410343
104,0.5607279603781106
105,0.5619865343814658
106,0.5619811318802743
107,0.560858263834166
108,0.5565875314244477
109,0.556041509650887
110,0.5562540785652528
111,0.5562555743865684
112,0.5493248443686294
113,0.550830438857205
114,0.537470671249849
115,0.5369112075788329
116,0.5363060909985851
117,0.5290707536414363
118,0.5288875789756095
119,0.5287302806917784
120,0.5241574177728539
121,0.5244505762276669
122,0.5241187162731666
123,0.5238382247204669
124,0.5248150454236193
125,0.5154610725055929
126,0.5041011292843055
127,0.5041296794938082
128,0.49522070772883564
129,0.4958619786997839
130,0.4958619152700151
131,0.49564757520869324
132,0.4959342797767067
133,0.4941423278178866
134,0.49518697711773285
135,0.49431004357811864
136,0.49321814139484543
137,0.49287893063753857
138,0.49290136153306346
139,0.49290885516251315
140,0.49307938423262687
141,0.49304053940988785
142,0.4679787558129105
143,0.46735350010807375
144,0.46885465549396443
145,0.4688561392035685
146,0.46885016980160854
147,0.4691183611454569
148,0.4691074084292538
149,0.469559246085844
150,0.4694567036065208
151,0.46918913361670567
152,0.46900404649852856
153,0.46873740963767874
154,0.4668454523797746
155,0.4633894163089273
156,0.46330832177490944
157,0.46335731759505255
158,0.4631066193201927
159,0.4628640758159623
160,0.4631387193718834
161,0.4618452911331669
162,0.46237182340698857
163,0.46184432075657406
164,0.46171297471753847
165,0.46057396628891734
166,0.4605632051071352
167,0.46047982452069885
168,0.45975218764003645
169,0.46064108122486747
170,0.4459974933678888
171,0.4473983957519259
172,0.4464180131599087
173,0.44561777964867993
174,0.4447735224615716
175,0.4441560037160447
176,0.4437885361572729
177,0.435868801030736
178,0.436411353206113
179,0.435412500869108
180,0.436686026870713
181,0.43573920085137363
182,0.43780800066259323
183,0.4371378408543946
184,0.4370637368707594
185,0.4421290351020836
186,0.44256081421617244
187,0.43637097071180797
188,0.43241641790278773
189,0.4324302947965889
190,0.4323627481036543
191,0.42818974086654915
192,0.42830746493985605
193,0.4275782326235785
194,0.42758985501642266
195,0.4275633379939894
196,0.4148124175067037
197,0.40301834622901084
198,0.40300384880683227
199,0.40316569589511264
200,0.40315538522117367
201,0.4031434054244505
202,0.4031843157231692
203,0.4011057927990628
204,0.39476984684101574
205,0.3952355326909088
206,0.3951483180044633
207,0.39460378346124825
208,0.3945809794929013
209,0.3939065163058351
210,0.39422342542741273
211,0.39646380136509224
212,0.39473922643582543
213,0.3952229846148705
214,0.39561226828537827
215,0.3953201385385216
216,0.3952362843346813
217,0.39523706337593056
218,0.39522266343566254
219,0.39522492922658575
220,0.3958012261034649
221,0.395791657580226
222,0.3960859303262275
223,0.3960768524611176
224,0.39568153605962747
225,0.4011048711378577
226,0.40097391395434123
227,0.39201059728196913
228,0.3921050861797092
229,0.38957600791235525
230,0.3923839621493116
231,0.3923876419862063
232,0.39220346217703306
233,0.3901712592209793
234,0.3894665825078229
235,0.3894715443603728
236,0.3897525837599213
237,0.38898492233866694
