Time(Iteration),EpsilonGreedyLinearBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,0.9890242759895278,1.0
1,0.9723482497199545,1.0
2,0.9593106974796717,1.0
3,0.9517239998442422,1.0
4,0.9494688526636395,1.0
5,0.930283776450648,1.0
6,0.9233150929057642,1.0
7,0.9134948225015048,1.0
8,0.9082296747098717,1.0
9,0.9033464883280236,1.0
10,0.8999492966626736,1.0
11,0.8964029022431502,1.0
12,0.8918623481882733,1.0
13,0.8869815870363874,1.0
14,0.8851718720967225,1.0
15,0.8846013551467768,1.0
16,0.8770024967232402,1.0
17,0.8677807941825577,1.0
18,0.870516336307681,1.0
19,0.8636272951389012,1.0
20,0.8619185762302047,1.0
21,0.8611579863138236,1.0
22,0.8533609232311632,1.0
23,0.8492039534527327,1.0
24,0.8483080005064549,1.0
25,0.8480861032156742,1.0
26,0.8461136166698624,1.0
27,0.8451747943611517,1.0
28,0.8375635828717789,1.0
29,0.8209719335761344,1.0
30,0.820885293750529,1.0
31,0.820574045404825,1.0
32,0.8083104016166812,1.0
33,0.8072434780978044,1.0
34,0.805009236588418,1.0
35,0.7815553267588522,1.0
36,0.7781740863926773,1.0
37,0.7647237377410395,1.0
38,0.7590465249751845,1.0
39,0.7539316970890082,1.0
40,0.7335612440896168,1.0
41,0.733375660733138,1.0
42,0.7311576004124293,1.0
43,0.7316670263913996,1.0
44,0.7316729369234738,1.0
45,0.7316309690505046,1.0
46,0.7301059854826352,1.0
47,0.7284306442575608,1.0
48,0.7242005854091553,1.0
49,0.7203247695867873,1.0
50,0.7201775630042315,1.0
51,0.7195338608006712,1.0
52,0.7028808715668082,1.0
53,0.6978009305361079,1.0
54,0.6890037032053368,1.0
55,0.6751034906577561,1.0
56,0.6744801950012678,1.0
57,0.6751121848783044,1.0
58,0.6747696902172011,1.0
59,0.6738095153136368,1.0
60,0.6719344618072066,1.0
61,0.6710345041415713,1.0
62,0.671011748057486,1.0
63,0.6712020516028813,1.0
64,0.6713279803758179,1.0
65,0.6650436833088159,1.0
66,0.6654042440254158,1.0
67,0.6644457924809696,1.0
68,0.6646254941831881,1.0
69,0.65622099865102,1.0
70,0.6524270320453077,1.0
71,0.6497639424591818,1.0
72,0.6498144492042283,1.0
73,0.649845821433092,1.0
74,0.6489110456089378,1.0
75,0.6343329248011067,1.0
76,0.6346956344610631,1.0
77,0.6346278501321747,1.0
78,0.6341936767953407,1.0
79,0.6270319372540529,1.0
80,0.6264456043993555,1.0
81,0.6264271062234877,1.0
82,0.6214472560354102,1.0
83,0.6216528907597059,1.0
84,0.6214794533690352,1.0
85,0.6218567108554856,1.0
86,0.621833891102069,1.0
87,0.6202648190291382,1.0
88,0.6218362378684753,1.0
89,0.6218176594363096,1.0
90,0.6220392477799226,1.0
91,0.6214758759203287,1.0
92,0.6213321587186029,1.0
93,0.621293426389839,1.0
94,0.6216322115480619,1.0
95,0.6135347909416866,1.0
96,0.6134389868155756,1.0
97,0.6047137870400736,1.0
98,0.6036725626932486,1.0
99,0.6036765342620733,1.0
100,0.6027332515106976,1.0
101,0.6028642652788836,1.0
102,0.605190232640475,1.0
103,0.5971359286503612,1.0
104,0.5938519411512815,1.0
105,0.5946901804010725,1.0
106,0.5921865965453917,1.0
107,0.5889711348943607,1.0
108,0.5887598780559075,1.0
109,0.5878824574942395,1.0
110,0.5882407986187025,1.0
111,0.590446955917703,1.0
112,0.5860365760349587,1.0
113,0.5845578753386589,1.0
114,0.5845414450024295,1.0
115,0.5846645581751138,1.0
116,0.5807144106438127,1.0
117,0.58065493068295,1.0
118,0.5807798138948017,1.0
119,0.575068591994635,1.0
120,0.5744825721460087,1.0
121,0.5731188601396637,1.0
122,0.5730580216281453,1.0
123,0.573041894351299,1.0
124,0.5725854907633667,1.0
125,0.5728658178511095,1.0
126,0.5728739305003623,1.0
127,0.5727817363786517,1.0
128,0.5727778607380313,1.0
129,0.5728463626606126,1.0
130,0.5662330086007812,1.0
131,0.5660484989274338,1.0
132,0.5630005615849277,1.0
133,0.5630090287520556,1.0
134,0.5632447571599222,1.0
135,0.5555047183169476,1.0
136,0.5517499583476768,1.0
137,0.5509733672382289,1.0
138,0.5510380720077516,1.0
139,0.5509548567513687,1.0
140,0.5493402795758368,1.0
141,0.5493571571811183,1.0
142,0.5486055197264734,1.0
143,0.5484690203313058,1.0
144,0.5482565747622216,1.0
145,0.5477273208277884,1.0
146,0.547233241142643,1.0
147,0.5410464510334403,1.0
148,0.5386136921402644,1.0
149,0.538759975973955,1.0
150,0.5383922141744368,1.0
151,0.5365760350329202,1.0
152,0.5285939081419417,1.0
153,0.5287319513637849,1.0
154,0.5282735998868292,1.0
155,0.5283196230889724,1.0
156,0.5277789659769374,1.0
157,0.5277616390405375,1.0
158,0.522212657904132,1.0
159,0.5221261926681369,1.0
160,0.52209757134314,1.0
161,0.5205884437834769,1.0
162,0.5204345546949243,1.0
163,0.518056684954233,1.0
164,0.5162676469862333,1.0
165,0.5162379225103886,1.0
166,0.5162038545150038,1.0
