Time(Iteration),EpsilonGreedyLinearBanditTheta,UpperConfidenceBoundMultiArmedBanditTheta,ThompsonSamplingMultiArmedBanditTheta
0,1.1563112027789881,1.195560216877007,1.192973678210032
1,1.1955103174428254,1.1599800276020305,1.257506972141101
2,1.1922067328314943,1.2216974046162379,1.331367436084496
3,1.2241369264776694,1.2738801381948834,1.3588374299468378
4,1.306907697537468,1.3768000961477327,1.4492802553592727
5,1.2910942283330231,1.3575562671521477,1.450976775693254
6,1.3221069875497673,1.4911584461899727,1.5444723012034256
7,1.3457231774632015,1.5569803957907422,1.5769329885522212
8,1.3632812280464301,1.4640356991127097,1.5275162625556347
9,1.36724111000223,1.4644478939236432,1.5156689617491215
10,1.3382545365946157,1.495762802431725,1.5285519990205927
11,1.384376131447699,1.5806542243716506,1.5400858987645882
12,1.4046234316479518,1.6320728079454347,1.5143634535301826
13,1.4023273888496508,1.6715360915535569,1.500942170780246
14,1.433362618888392,1.761391222297938,1.572120339813756
15,1.4108332020135477,1.784386307512284,1.5942013195825477
16,1.4088757254999424,1.8255891324540507,1.6090019670306173
17,1.406273142191474,1.841256603015512,1.651589122268708
18,1.3866465881735848,1.874725996982702,1.6585268290341286
19,1.4009615623303195,1.8995998705827737,1.6906080243349226
20,1.370779761515548,1.9164598769904058,1.6489898686944329
21,1.414277509419081,1.969971074008189,1.6439560120176864
22,1.395909496681078,2.006747139898697,1.674195484567223
23,1.3814486416469116,2.0372207476723125,1.6798203985254065
24,1.3804262675267402,2.0864379678802694,1.6615153120388406
25,1.3673495394798485,2.070691473392773,1.6567998396156303
26,1.374178950353358,2.0767395053063056,1.674977283745425
27,1.386213582419953,2.141989393584601,1.7190324699499542
28,1.4011658850555697,2.1382452056616694,1.7238098105852386
29,1.4100558020941487,2.1569299953815526,1.7370721828857296
30,1.3763382378695954,2.1339460684626452,1.733419804780904
31,1.3736050061056864,2.1463653299085457,1.731420843993033
32,1.3772688931190202,2.0926870339044905,1.7307433910394565
33,1.3968015774572273,2.0758631926085074,1.7120117367723633
34,1.379192400225699,2.048102086139022,1.730853029710286
35,1.3819639901726286,2.0171921097384073,1.6942234171734118
36,1.3767396955460538,2.00784031254564,1.7104685212239468
37,1.3600911524864205,1.989413288544893,1.7287159133606038
38,1.3467823181175451,1.9718341688523346,1.726025604366841
39,1.3277037321999656,1.9579531783900563,1.7258350257714508
40,1.347627319438552,1.973055679254728,1.7111367255776524
41,1.3369491789864794,1.9622142215628275,1.7176496904070884
42,1.3720750503094912,1.9417062722573815,1.717240510868151
43,1.347998447419051,1.9409386624619487,1.7072123671983142
44,1.3519205573577988,1.9330565559859174,1.7047577184012404
45,1.3270489495887163,1.9235015264172866,1.6963388541691038
46,1.347065558151956,1.9228461502531284,1.6988050359441704
47,1.3364287966460213,1.9276006824166843,1.6811167510391951
48,1.3218500640597806,1.9238779192385949,1.6806978788611668
49,1.3009426171301546,1.9232314915579392,1.6976298178379288
50,1.300982087937832,1.912124957926722,1.6798152008946239
51,1.2825150127895772,1.9097229757505587,1.6711394816696306
52,1.2871954875413059,1.907879316819366,1.6876873045044203
53,1.2962016177185645,1.9018659258750348,1.6540069363498624
54,1.294694898775259,1.90078392226998,1.6493106270634115
55,1.2975750887222248,1.8917084425114272,1.63297943059952
56,1.3007185561345302,1.8856223729578616,1.635859555179381
57,1.3086305353430343,1.8970970189751761,1.6353408586439098
58,1.3067463650889508,1.893303948378143,1.65731357822527
59,1.3002825856321933,1.8796541169536127,1.626080358146028
60,1.2987233640754452,1.8747768917351215,1.602996160216712
61,1.299912607131081,1.8714076634847239,1.585678309463175
62,1.2994700217358328,1.8577140108975532,1.5860325302975498
63,1.2930114771949035,1.8687225902007945,1.5932587625375385
64,1.290576768526464,1.8527759640075518,1.6000708221485027
65,1.295006054776921,1.8493302780141874,1.5983233125027656
66,1.277012608595321,1.8422214644555577,1.5891952033152856
67,1.2790729691154399,1.8514537558449813,1.5763965190229017
68,1.2773309413410716,1.8479558772128466,1.5705584840057094
69,1.268679648044802,1.8250349303326245,1.5563134008760982
70,1.2674172025582982,1.8198818918897643,1.555356317206759
71,1.3005297401554943,1.8205828547445435,1.5534511282317427
72,1.334521938450043,1.8208718597476206,1.554037289010809
73,1.3116635529011558,1.8288110301157388,1.5576100714980283
74,1.2820209011041679,1.8199457019254919,1.5538198955175786
75,1.2899804979771425,1.8139037747465636,1.5513356908713702
76,1.2819580077520905,1.8017848039455475,1.5628449312850907
77,1.3163953234777495,1.7874896529496946,1.5642698086800233
78,1.2997590704444288,1.7796863942029528,1.558671676475749
79,1.3021987784539717,1.7733679944894374,1.5513041533087621
80,1.3073189406581593,1.7893247157662642,1.541226517756422
81,1.2912955810284026,1.7893221938430615,1.5508791170093756
82,1.3100650387699049,1.795118088651885,1.546422976938509
83,1.3074463332551665,1.7890751817078865,1.5419578689334925
84,1.3083908241707536,1.7877282559520662,1.532886773177757
85,1.3082532167395495,1.77652819774827,1.5316564476524075
86,1.3066575709519557,1.7756379691244326,1.5210088506930712
87,1.3023460833344576,1.7687519146810662,1.519645749064642
88,1.2961122963461493,1.7607155566646213,1.5140537086545343
89,1.2954473937542736,1.7574439803369537,1.5048439146140644
90,1.2901391850993014,1.7647395244732713,1.5023950301931532
91,1.282923233654718,1.7495080214390737,1.4936954749172322
92,1.2911970760176683,1.7564881389256481,1.4697357177798729
93,1.2950909091712277,1.7538279975838567,1.4849498475296359
94,1.290282583613349,1.7371957492860512,1.4662149283721448
95,1.2963026637835786,1.7468972953354633,1.4499875973133425
96,1.2795411977201492,1.7421700998681373,1.4374665114442267
97,1.2870604025463739,1.734407387156684,1.4401770806196141
98,1.2802922903411984,1.7255597083974248,1.432302540368974
99,1.2595767424852187,1.7243691218872026,1.4454335954099506
100,1.2638186809659504,1.7255475796045303,1.4413309573254487
101,1.2642630792707676,1.7315497552528138,1.4349523846429675
102,1.2803212542901403,1.7270196725589628,1.4482631331815279
103,1.279473876960564,1.7282689461583474,1.4299555418945826
104,1.2669772512003932,1.7275031664031673,1.4100376131582848
105,1.2675145365008174,1.722054366474645,1.4023649886480987
106,1.2669654848765781,1.7041112177625717,1.3994859519904677
107,1.2772667211586728,1.7060348138634545,1.4022656471440136
108,1.2720624377807126,1.690601931178546,1.4015275461818895
109,1.2711460430245793,1.6615157301537629,1.393592625480585
110,1.2722833593422647,1.6599800923193002,1.388154967144327
111,1.2943012863835468,1.6528123446919918,1.3844465932601426
112,1.2756783282255444,1.6463490087589943,1.3859596137144061
113,1.2812042224761637,1.6397781464023737,1.3843695748808549
114,1.2796847312531032,1.63457130758766,1.372676280800812
115,1.2788223138065842,1.6389168196777277,1.365540416235903
116,1.2731234344208384,1.6372100597764354,1.3456613256567276
117,1.2709757040768666,1.637424430728721,1.341956911582345
118,1.2805944236937594,1.6197650430105086,1.3424164009040953
119,1.285817437241039,1.5996007260578122,1.3424469828650862
120,1.2877005447807215,1.5997973548806452,1.3425099397003044
121,1.2858070462100422,1.589116518427419,1.3426976935890136
122,1.2982839274904374,1.5773241229832375,1.3425785858884307
123,1.2994996312878402,1.5604723772551607,1.3470886952579204
124,1.299495467119336,1.5622092841639124,1.343926062264583
125,1.3051538878795146,1.5619121507912848,1.340522309078369
126,1.3075716595303446,1.5542573025390092,1.32798408350257
127,1.3117694216669926,1.5556041070656819,1.3339602898874072
128,1.3048096301930319,1.5537281532815863,1.327084614079905
129,1.2957997741283163,1.5468794311552692,1.326316160847541
130,1.2863042045953448,1.5339173084762472,1.3258169049879949
131,1.2821716395199787,1.5388077475667152,1.323413771126765
132,1.2765699080424995,1.5339317175014402,1.3171984948237172
133,1.272704050248795,1.5370385296434512,1.3240845799370078
134,1.2711213269802946,1.5311969716099831,1.3112348848800517
135,1.2701856739317758,1.5307368286772003,1.310401898559311
136,1.266860895770689,1.5233004723276142,1.3059561213250688
137,1.2784659591634449,1.520812571674624,1.307789061258904
138,1.2669907701443268,1.5070869737299868,1.3016314726951743
139,1.2684355944708952,1.4941800103675607,1.303035830508195
140,1.2684952099970603,1.4955689337506164,1.2973418776340897
141,1.2676498367767732,1.490195926718735,1.2702708022500777
142,1.292083787257446,1.4474617425913332,1.2610177843371935
143,1.285581286557118,1.4460397962512004,1.2551757967993977
144,1.2718262870370314,1.4439106700022526,1.2559609793286093
145,1.2421626387707676,1.4382011750649846,1.2397781225093145
146,1.2331390762713388,1.4229284259280675,1.2411482464825387
147,1.232697832026872,1.4229143693948045,1.226604284374943
148,1.2642813667751613,1.4227236837615949,1.2269929108384374
149,1.22446185539607,1.4210869363894603,1.2235380065657022
150,1.2300765230654216,1.4044145985231642,1.2258337071656076
151,1.2183215492657307,1.3999763572027342,1.2254519180029095
152,1.2087523902582968,1.4043889409237986,1.2358756909466158
153,1.2155133968186633,1.3969479515765237,1.2282590679671324
154,1.2196713662973635,1.3958340222753933,1.2103427630362957
155,1.2178090929221534,1.3857158800935911,1.2104110272370439
156,1.2118843292415553,1.3843371448229307,1.197464704008451
157,1.2133496389656828,1.382885892568388,1.19580567110489
158,1.215515515366474,1.3685865355124636,1.197983064485475
159,1.2077384400547362,1.352671143367509,1.202480499893323
160,1.2058552624645933,1.3422148607951856,1.2008149038298974
161,1.2031818956044134,1.3387916046141306,1.1989441354070673
162,1.2001890743114514,1.33448959116043,1.1979251032952984
163,1.1973896274480293,1.3336217022507424,1.1914569041485938
164,1.178376054864256,1.3365559599641152,1.1958717088908433
165,1.181380131160179,1.3350994794510163,1.1943816204112978
166,1.1781285782988822,1.3319869664237154,1.1947578487930097
167,1.161655371516272,1.3426848273711494,1.1868767490808927
168,1.160900430572448,1.3402465315500893,1.183503796865692
169,1.1551891927678284,1.3427205635697617,1.1824661812856498
170,1.1508956177495737,1.3305284017779084,1.1814078947363373
171,1.1499864043646562,1.3298358144720543,1.1791645541014013
172,1.1416754541829375,1.3317921391288632,1.1449776131773826
173,1.1406426544714068,1.329457210170456,1.1532702024205912
174,1.1402772784655497,1.33611046464647,1.1528895319029877
175,1.1438987962388876,1.3364456613912836,1.1555589958545123
176,1.1361386360575725,1.3320972615584952,1.1455637227549378
177,1.1389802179344728,1.336223549498618,1.1515918028718906
178,1.1416184354055123,1.333682627348635,1.1474207505735508
179,1.1349790724284792,1.3211885790164142,1.1449958900301915
180,1.1357169925354804,1.323140096929037,1.144364728001561
181,1.1367363111303692,1.3238132833760332,1.1391366928469984
182,1.147764361775304,1.3169113659949665,1.1361203695554407
183,1.1454691862534891,1.3084238746856323,1.1381717751843194
184,1.145498446504886,1.3077066540637372,1.1375320758579428
185,1.1434503483484557,1.2865975815955235,1.1374237802721487
186,1.1422266467788433,1.2873075845539765,1.1338784076041655
187,1.1536040748823648,1.2833306602262264,1.1310532483499403
188,1.1842482517795436,1.2829164725659807,1.133552508543321
189,1.1883643547279779,1.2814026175196662,1.1186003392595494
190,1.1893619099900812,1.279684323093382,1.1220149470902039
191,1.1802313318443072,1.2797762956160106,1.1148626044943497
192,1.1682396617902013,1.2770551573655762,1.1118922844857362
193,1.1742648114918728,1.2771053081352601,1.1115576240170653
194,1.1939993236793596,1.2719925092358353,1.098733706749961
195,1.1932379554935113,1.2720571546192656,1.1009716981794115
196,1.186324971140096,1.2482470854564631,1.1001325994034903
197,1.184197794425128,1.2513031002900186,1.098653765074488
198,1.1859305830282867,1.251078357864637,1.0971392700425888
199,1.1772938542896427,1.246638458396798,1.101550728061852
200,1.1768855498154502,1.245529691946858,1.1020771041738857
201,1.1817767801441181,1.2523959452814766,1.0992814282367598
202,1.1816905100819572,1.252161219493829,1.0907876490782775
