Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.3317297040751574,0.3479951418658785
1,0.8262803247533735,0.8138081811386242
2,1.2176152861941838,1.183857772890362
3,1.6912653321518143,1.6442755595632217
4,2.0893917610185624,1.9965897481785908
5,2.3793847473033827,2.2687419088186167
6,2.6993949651101588,2.5433768198563422
7,2.9986497828002676,2.8527367600406968
8,3.437396485180166,3.119209453896952
9,3.6734578174518275,3.37968554701474
10,4.054834323094633,3.617012845191566
11,4.4718358718529245,3.892545644901211
12,4.777675365374303,4.105417907829423
13,5.129607778577091,4.496686161139644
14,5.435515330818686,4.700800451296542
15,5.695966266192788,4.865155471336147
16,5.941760025732019,5.060840894199425
17,6.1005329486362845,5.256739388358043
18,6.36108514472083,5.395651714443934
19,6.618256474454283,5.69846974254688
20,6.871456847113239,5.976359355673827
21,7.129537183880767,6.1324111604049865
22,7.432804038883833,6.319097198303363
23,7.738403165803936,6.4631968953100145
24,7.8767240697544425,6.669246071062874
25,8.167927590739678,6.863331431767641
26,8.288792294288026,7.1940546511253745
27,8.555008283477981,7.467050068027065
28,8.796971782034785,7.7275462165082205
29,9.025560088578692,7.833152899355461
30,9.173713208021258,8.028191840310452
31,9.368633484129141,8.312915838849987
32,9.508781774028414,8.645025139509263
33,9.670739848320952,8.745277429197873
34,9.898603301347972,8.934408537024407
35,10.08044167128377,9.034660826713017
36,10.245006255442455,9.305714831360394
37,10.392485673334793,9.590707068302937
38,10.562236021698684,9.87244639716678
39,10.768157896809385,10.007404142774208
40,10.897540660029804,10.193978947193509
41,11.042862084133496,10.35326343760081
42,11.160900760623218,10.575645535853951
43,11.406124649069719,10.769039048329706
44,11.561478172881692,10.969984365168894
45,11.783586244105276,11.154968697860909
46,12.070774402732862,11.289085031881493
47,12.360094850291599,11.397597824953213
48,12.531794038248256,11.537237876953586
49,12.75390013356828,11.75594367342275
50,12.878064915331393,12.021484714719843
51,13.226024879155526,12.156703554874188
52,13.499977451773981,12.341024276875837
53,13.682785825285595,12.608139664818907
54,13.814254269793363,12.741979503393571
55,13.95227825001094,13.054575177942151
56,14.13430852139805,13.222258723094583
57,14.341422669952532,13.399435527869716
58,14.60454148481009,13.56025744076204
59,14.791149896629193,13.698898728025275
60,14.937847510666334,13.777652694111676
61,15.100471769198915,13.900326530805192
62,15.207845588801101,14.068811192068788
63,15.394767226934121,14.325076798085444
64,15.531108626432953,14.49963027286259
65,15.644363757465817,14.632097967925532
66,15.787251006115593,14.74010613853764
67,15.98504717350627,14.831315656705664
68,16.093782890089837,14.978408915907593
69,16.212547714004337,15.12831351257095
70,16.354168535918745,15.227014152852513
71,16.633379475402897,15.410678797393748
72,16.716184357225735,15.625970930033239
73,16.82412860727352,15.824692217147907
74,16.865833866739408,15.964471955252122
75,17.002677869724014,16.1363721140494
76,17.123963554177646,16.280161132293635
77,17.243933620810445,16.451718543548704
78,17.449131745719193,16.619023351100463
79,17.570348901673903,16.7445491663869
80,17.60619464455764,16.872020293591284
81,17.75577489116311,16.91863772700745
82,17.852973212014845,17.19566840533057
83,18.03329190118895,17.324914319636466
84,18.158780963008134,17.500393145725642
85,18.354885196233617,17.570117065226885
86,18.454565501083962,17.66489770899131
