Time(Iteration),EpsilonGreedyLinearBandit
0,0.19114277064608168
1,0.5205932064401831
2,0.7937586978505681
3,1.1167676889260363
4,1.4287602690811447
5,1.7113630073943067
6,2.043588390647527
7,2.3256220939965373
8,2.6432325165469277
9,2.8688449475440616
10,3.1125926492398674
11,3.3497265561674525
12,3.5569509147567495
13,3.768154970893751
14,4.028185297314458
15,4.215317003727546
16,4.509927687181654
17,4.718397835582126
18,5.022713616044922
19,5.2893581007554165
20,5.532702561898243
21,5.73182200123618
22,5.936674559838919
23,6.130753592138636
24,6.368076221826106
25,6.623286201459779
26,6.774581657484228
27,6.9630349585632825
28,7.141930010753337
29,7.336344719173374
30,7.538524980672323
31,7.679404593249041
32,7.891359452464664
33,8.062420890989095
34,8.247206857914708
35,8.43403136563225
36,8.555245414975724
37,8.851262126824597
38,9.002320079812327
39,9.214422919885086
40,9.352167023813667
41,9.483209616477449
42,9.614907453709858
43,9.81074861625736
44,9.984697099967775
45,10.083581918124183
46,10.261920548621882
47,10.472174908061834
48,10.71827653406989
49,10.804453359072117
50,11.001061026613815
51,11.292426097526066
52,11.456749005725168
53,11.580691701700971
54,11.716618195403186
55,11.854383407956545
56,11.999661677000763
57,12.234899433715553
58,12.423081802301308
