Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBTheta,LinTSTheta
0,1.0557895413472282,5.378101397681937,15.531470555178075
1,1.0802776236910716,5.530097087453208,14.87031810178166
2,1.1355328467652508,6.2205391890943655,14.603614873693578
3,1.1769351374703212,6.327633543903049,15.151585062189024
4,1.3038275153805035,6.444597620149136,13.555291972430826
5,1.4026328954710272,6.913374089008208,14.41323367473326
6,1.3985323734790573,7.057425353007476,13.825395889877939
7,1.4143234632340402,7.222083307182331,14.126347050616872
8,1.433761591701911,7.609428208039944,12.679328879954777
9,1.4228917080921077,7.466472929852438,13.381804279627596
10,1.4325401154691666,7.519808837467943,12.687790689652767
11,1.4621638996460828,7.717678333839254,12.65799817263244
12,1.4771067828911375,7.748921147056182,11.422962782027898
13,1.513854455272551,8.067310215848158,12.025576571747619
14,1.5103753047159258,7.966718871266498,9.839818091401252
15,1.5308933971876992,8.061385248777349,10.727901471669483
16,1.5309895214368399,8.104684242685728,9.63583813341111
17,1.5193909621824202,8.305712711538138,9.957937610687395
18,1.4551000291283003,8.217167639225256,8.316198927940412
19,1.4599344335333795,8.360057950385007,9.356156550285892
20,1.4576311161678226,8.267657245014465,9.549181929091919
21,1.4694655942645611,8.227129944844206,8.646838781666652
22,1.5459632822427412,8.564450173387563,7.3941928061078785
23,1.5674477547823964,8.511315208772775,7.496272271989308
24,1.5674104467014864,8.498044449130962,6.295400206360888
25,1.5544741311180226,8.326878462265116,7.661260669583444
26,1.555710127849776,8.326668726352915,6.167448194436138
27,1.5518986987250942,8.421925611615139,7.208776220189103
28,1.5669794639393817,8.380077229388949,6.713068907257158
29,1.5516422017985978,8.541135825673011,6.910321972729982
30,1.52251071347664,8.639707978007838,7.408930093341437
31,1.5243480763425048,9.034797838107812,6.7097316977114785
32,1.518241537324961,9.110248336495419,5.772334984083484
33,1.5146430378832185,9.131412627898438,6.055970004107862
34,1.5038899077635308,9.155687317806223,6.343423144966655
35,1.517758907851237,9.315762652898535,6.523176955341823
36,1.504977091362133,9.311046362922186,5.27522360638927
37,1.522094814783343,9.421111229618846,5.630034815453689
38,1.5191316795329062,9.405904261931436,5.307257816439383
39,1.5330952527671156,9.512818888825832,5.327523366223907
40,1.5238485030495235,9.566197035182716,5.449329174949179
41,1.529063020142131,9.66650711202306,5.6696390790997295
42,1.533826460993312,9.587075724629345,4.843090322956232
43,1.5530735162697336,9.65673851105073,4.578737181727517
44,1.5626644798854354,9.671740498065006,4.543086655550644
45,1.5595776974410884,9.718580588193445,4.41666405465635
46,1.557264088970387,9.765876873733848,4.754670543075782
47,1.5636181621985226,9.920227454030194,4.6549447859950295
48,1.5572928728703093,10.259810156162732,4.564948624143802
49,1.5475687597131804,10.248439962290043,5.0642473075670456
50,1.5256117775430043,9.89611045800186,4.64698586568413
51,1.5431520891566037,9.837997077647994,4.541806521640074
52,1.5516482529968367,9.899439636681171,4.477986905787299
53,1.5196643459836152,9.89026911527945,4.512961666020228
54,1.508320427955286,9.840182770297954,4.328914533473034
55,1.4994957435435832,9.849048099344476,3.9547622871397983
56,1.4932030697392633,9.82599076396484,3.9812916062902515
57,1.4979316409138157,9.797250329696073,4.058126121159674
58,1.49306144221767,9.880759928789796,3.954395236964205
59,1.510870452486769,9.919954302466119,3.7575366062038547
