Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBTheta,LinTSTheta
60,1.5047532945070892,10.00216363452476,3.7213417697466205
61,1.4926256345960878,10.065773024503704,3.9870962984372396
62,1.4865612559357468,10.036028374455622,3.7874504747508233
63,1.4595622381888589,9.887566519151019,4.098703096728193
64,1.4581358145703813,9.862228327220787,3.870644962845661
65,1.4562668397159153,9.835233315070688,3.599048697207963
66,1.4993379280638526,9.868680596062578,3.8076654362885543
67,1.4823296016224363,9.832251619800745,3.6781268308237216
68,1.4819463814644092,9.82031388297053,3.4049754797891887
69,1.4906486347379233,9.806685135723018,3.9560226394155245
70,1.4738730576429544,9.850332133871547,3.457906360818525
71,1.4568150076402122,9.827933748550262,3.537737162399504
72,1.4607018933112976,9.853528752497668,3.9270528728231175
73,1.4599408419125577,9.864562121117611,3.5936849557139694
74,1.4778702748626773,9.856322683074625,3.6871961256223287
75,1.47257470409618,9.918519049327301,3.5777916481787786
76,1.4593789551343292,10.01796866428216,3.623879562240183
77,1.4585696414652691,10.009305302924457,3.197474498643654
78,1.4661325702030652,10.038701209662957,3.468076929006218
79,1.4580497106034749,10.030034964392085,3.3007658064297076
80,1.4493872344238763,10.054058677410335,3.3999556651412512
81,1.4654166449153754,10.040722539604879,3.2244735526631514
82,1.4602362864278107,10.016022858870908,3.229851898314519
83,1.4599948395640896,10.040404945682337,3.3770641353586783
84,1.4579705181929374,10.02645412016519,3.464561559249252
85,1.4761079084800086,10.004572487525179,3.524606457124804
86,1.474602167926067,9.997424401710592,3.2004103027087476
87,1.476876994683155,9.992651343206699,3.3668640357201887
88,1.4816745045291568,10.01697835242958,3.299058715389316
89,1.517030409784537,10.027346095994448,3.0457522314887577
90,1.512079733680065,10.038631084535274,3.4872114535552634
91,1.5380492875405998,10.039569402949345,3.470545207753246
92,1.516894721444814,10.062017637408921,3.460684136202395
93,1.5324253898929139,10.047550157115161,3.2344540774637855
94,1.5290522773474422,10.046846426325924,3.6606943521515674
95,1.5370358784993523,10.046320490892597,3.2906331717346355
96,1.5287833422812953,10.050042727802866,3.2616182938162197
97,1.5350465219952698,10.037651820276716,3.1304821338052826
98,1.5252952323993791,10.043984046769998,2.868786688484776
99,1.525844908217151,10.016142977355107,3.151490524805698
100,1.4918321609936451,10.008657866459561,3.364003805790618
101,1.5197242562535467,10.008788342305479,3.276063293472653
102,1.5108677579359129,10.006715397486243,2.7621822594684913
103,1.4785802599473745,10.00247633072981,2.952964725507099
104,1.4981579609059232,10.016757625719986,3.189869427367537
105,1.4794042649435641,10.016857501324818,2.7381832793228513
106,1.4729440999474237,10.0280922418296,2.9484082200022255
107,1.496765748272953,10.162534381901612,3.27775826907016
108,1.4958414469818264,10.182128214463297,2.9711534491779195
109,1.498473793766628,10.177716497140114,2.9991363516271545
110,1.4960160243711387,10.16785386124644,3.0869213954300463
111,1.495452991684682,10.17950678478791,2.9821491598668812
112,1.4865478443061748,10.181059065099292,2.9068376218775613
113,1.4737038446690502,10.182276304768015,2.993361145224723
114,1.472776878894175,10.15864797983572,2.779814847221903
115,1.4637145353896546,10.15338313035323,3.264651261646167
116,1.4593115310660787,10.160522538539478,3.281886497532091
117,1.4548875068682476,10.143495231389489,2.898172722820545
118,1.450038720698434,10.131624156661381,3.2341320961785662
119,1.4495175023523417,10.127755581293844,3.1369240236984224
120,1.4411773166256985,10.130313408477164,3.3062788299897043
121,1.467920616029879,10.176670702888002,2.8839812350601792
122,1.4655276827888053,10.138851205115103,3.2934733908886145
123,1.460341757637202,10.130550831639015,3.085207250070242
124,1.4453174725820195,10.101027220509632,2.926214598385186
125,1.4443349561716747,10.101512530859626,3.0780957245469898
126,1.4364384447842187,10.112807408192436,2.9248034987533664
127,1.4363610267822498,10.108202034123742,2.7987548810805443
128,1.4177347898582067,10.088603290615044,2.5770604023253076
129,1.4151795276453454,10.105073066427064,2.9406028521127325
130,1.405736839889919,10.093431626204733,2.622823340282164
131,1.399881560489239,10.07968405953186,2.4888811527812686
132,1.4016923290397247,10.08432382318665,2.765991365456102
133,1.401700646095493,10.086590059086573,2.914141963998289
134,1.4012489290411225,10.084206537053712,2.8094566861654497
135,1.3781222380591651,10.076433906620121,3.039521167666286
136,1.3809343924556723,10.087775142514852,2.903195523782074
137,1.37915171376115,10.095358334072941,2.9951642329944534
138,1.3820635794943583,10.09909693892651,2.8161388640871112
139,1.3806620103269638,10.095363633649084,2.8207800910081584
140,1.3805842471616785,10.121642478630273,2.635739871350753
141,1.3653194184245823,10.146537380168471,2.468587445733008
142,1.365813514074518,10.14450886525353,2.877060535815911
143,1.3674000788393161,10.137473954172176,2.737150059950955
144,1.365990631240229,10.134587199028132,2.805813931072095
145,1.3752494186070343,10.13395293575211,2.453671554913174
146,1.3645513093606858,10.134474241470341,2.472950431846207
147,1.3642287422224446,10.132870047112311,2.526275751670035
148,1.3631079638452739,10.136142931827449,2.4892269287906323
149,1.3606218875937341,10.136080232915853,2.4536417034075617
150,1.3572239574967473,10.132276285886231,2.8079951826937775
151,1.3549726127507609,10.125800656772824,2.6916142493205166
152,1.4030876365092555,10.122271642325298,2.338571615729934
153,1.398628198320021,10.132043799665356,2.9126103431129424
154,1.402540610353131,10.270991079354362,2.4238252777538225
155,1.388386856757598,10.268798500926156,2.4736868716923746
156,1.3903261957187225,10.272330494508449,2.804136403786223
157,1.3898539875235651,10.2674651510078,2.4812123206734418
158,1.3908778835288098,10.27129635678677,2.626759977231363
159,1.4174002704130348,10.273897088803414,2.6993954026705174
160,1.3973966834399512,10.262231576072802,2.70557946030438
161,1.4007159884334661,10.268094210173896,2.411451502240573
162,1.4027159018933055,10.267956617383156,2.3983305665520533
163,1.3842110806861765,10.267296758616517,2.266327328137362
164,1.3848056874425452,10.281331051127001,2.398121779093626
165,1.384839946390389,10.283414604856763,2.6517839977533146
166,1.3857124989628327,10.282877644605383,2.6470891383757955
167,1.3814408595611813,10.311140872770624,2.7185109189504315
168,1.3760094534838374,10.310007355367414,2.6851853241583954
169,1.3757473548680315,10.35158790477616,2.4525813309237696
170,1.3772634295353574,10.366421458876001,2.584230408771478
171,1.3770541679493378,10.345447619404636,2.5895049682995968
172,1.3748175830608547,10.342876908102749,2.393859063862622
173,1.3722492431404991,10.337942938099923,2.494535036775037
174,1.3730851607426415,10.380758626564695,2.5475429461617782
175,1.3677330589589065,10.377779753289785,2.7209818324313604
176,1.368251948475994,10.37529009328588,2.4270224761346233
177,1.3618107811276519,10.373226286672166,2.413429830475221
178,1.3578152021397352,10.371923665676384,2.30756420451523
179,1.3477900622518844,10.379602777542868,2.5700910694106676
180,1.3424174063586627,10.370642470048576,2.36097571360228
181,1.3470951680447278,10.374217144285552,2.253182603710799
182,1.3554812595468984,10.389525707015093,2.5955426607852785
183,1.355460308997409,10.392160227256813,2.4788290995187454
184,1.3534220749987058,10.396113700512663,2.162570465149263
185,1.3517094821510909,10.395719505546229,2.391181896887487
186,1.3521265528306627,10.396293286910279,2.422241177171398
187,1.3505972450239316,10.399759592399567,2.4617726777412257
188,1.35181358583635,10.40866709232988,2.531851491116406
189,1.3511745157302348,10.409913665638475,2.504917728095765
190,1.3650478945484914,10.408119431186279,2.2662628947951147
191,1.3569098479551804,10.405938944880882,2.5335147521547094
192,1.355938257861965,10.39996416234543,2.5399046060140487
193,1.3644876667009171,10.396937203980945,2.2341242503759338
194,1.3683542219039746,10.386739086180587,2.2906409179924365
195,1.3667582976122836,10.387590150808368,2.6744077899862932
196,1.3693493260339122,10.391167611902109,2.546428349988477
197,1.3328867717310617,10.383176774714297,2.564930007550079
198,1.3261144963501623,10.381110204384488,2.3702856516851503
199,1.3245123583877507,10.395420846618421,2.129724568613023
200,1.3108329479038556,10.394952256827185,2.4650997750551946
201,1.3079054391099543,10.398139480675878,2.290548451454399
202,1.3149624136093159,10.41240959312557,2.2735990612047026
203,1.314915802633227,10.417143024764908,2.3649830581106435
204,1.3135064130327216,10.413203006081446,2.1675638752537734
205,1.302026800315574,10.407995315063783,2.1452618943162025
206,1.3023991788549165,10.415782493690134,2.2815492818550203
207,1.2978616597497072,10.406400248688577,2.2499355579689646
208,1.2933948413288867,10.40803893589289,2.1721304473889944
209,1.292813086108167,10.410504873008916,2.094845496414119
210,1.295340275836247,10.426770297835187,2.198025632779596
211,1.2947142331459598,10.444737690657755,2.2635926114355076
212,1.2940614082171589,10.447635815709365,2.35113718876421
213,1.3063137321332483,10.427793202416774,2.5896921968323765
214,1.3060717641100414,10.431331175380043,2.2094265645577096
215,1.3050649046733176,10.428755016757984,2.2803103087734717
216,1.3048862898738467,10.441497646530038,2.3976405970986647
217,1.3068619738321146,10.447208737168763,2.092958806390418
218,1.3063410693712085,10.445480102856076,2.1696090243405477
219,1.3080161274480484,10.43856227284213,2.2199442559712015
220,1.3082753369487825,10.4428477261718,2.184110571465701
221,1.3056888545066887,10.431901750250011,2.256196713691211
222,1.3061078562420605,10.426174068320984,2.3637317359644667
223,1.2734884964969222,10.420670824373968,2.1763692231188503
224,1.273257077611317,10.420886670859026,2.2925257864436377
225,1.2727833914285074,10.419465366307644,2.237651603356469
226,1.2728792713394266,10.423641012913432,2.4201334292103764
227,1.2735866910512006,10.419456907510785,2.103546551436801
228,1.2740872412897866,10.415347911511375,2.3325344706346347
229,1.2741401391196097,10.414998732639452,2.0590962599859144
230,1.2771938340776092,10.412236206296093,2.136782752131697
231,1.27849698730736,10.410041823418457,2.072326136923334
232,1.2898781333359204,10.407378299686595,2.154100016760111
233,1.2885654221856089,10.4055532781293,2.1141199205783923
234,1.2868627204616414,10.40570245614896,2.171093238612109
235,1.2868250003655766,10.411950135557397,2.021491814811962
236,1.288360932401035,10.413565862155403,2.293744011465905
237,1.2888825049990718,10.415346127553576,2.14854212796172
238,1.284118119369606,10.417682933899624,2.1224043697828052
239,1.2834136287666396,10.415747002480307,2.220613772769988
240,1.2654738968986794,10.421630893782364,2.2604204566926223
241,1.271600693712979,10.417567742221516,2.2137422825725475
242,1.2712420067806363,10.42481042114693,2.589365741461631
243,1.271448467758996,10.432602626158154,2.0824211531712473
244,1.2706912812437623,10.434028337618681,2.2846362428471645
245,1.270184732577572,10.42931469056936,2.2994149723673174
246,1.2714065101021454,10.428954891461686,2.531790914576049
247,1.2701926340797278,10.430175466432008,2.2884300221765708
248,1.2668772147832366,10.43086515536992,2.0099782693536494
249,1.243347599238535,10.427439203950424,2.12191640506329
